Orthogroup	t20_fai-gene-cluster-1	t12_fai-gene-cluster-1
OG0000000	AAN_000141	AAA_000147
OG0000000	AAN_000143	AAA_000149
OG0000001	AAN_000134	AAA_000154, AAA_000137
OG0000001	AAN_000148	AAA_000136
OG0000002	AAN_000135	AAA_000138
OG0000003	AAN_000140	AAA_000145, AAA_000146
OG0000004	AAN_000122	AAA_000124
OG0000005	AAN_000146	AAA_000150
OG0000006	AAN_000130	AAA_000131
OG0000007	AAN_000139	AAA_000144
OG0000008	AAN_000138	AAA_000143
OG0000009	AAN_000153	AAA_000161
OG0000010	AAN_000124	AAA_000127
OG0000011	AAN_000127	AAA_000129
OG0000012	AAN_000162	AAA_000170
OG0000014	AAN_000159	AAA_000167
OG0000015	AAN_000136	AAA_000140
OG0000016	AAN_000151	AAA_000156
OG0000017	AAN_000155	AAA_000163
OG0000018	AAN_000128	AAA_000130
OG0000019	AAN_000163	AAA_000171, AAA_000172
OG0000020	AAN_000132	AAA_000134
OG0000021	AAN_000152	AAA_000160
OG0000023	AAN_000133	AAA_000135
OG0000024	AAN_000157	AAA_000165
OG0000025	AAN_000158	AAA_000166
OG0000026	AAN_000161	AAA_000169
OG0000027	AAN_000137	AAA_000141
OG0000028	AAN_000156	AAA_000164
OG0000029	AAN_000160	AAA_000168
OG0000030	AAN_000123	AAA_000125
OG0000032	AAN_000164	AAA_000173
OG0000033	AAN_000147	AAA_000153
OG0000036	AAN_000149	AAA_000155
