Orthogroup	t2_fai-gene-cluster-1	Ref_Epa_from_V583_fai-gene-cluster-1
OG0000000	AAJ_000176	AAB_000124
OG0000000	AAJ_000177	AAB_000125
OG0000001	AAJ_000163	AAB_000129, AAB_000117
OG0000002	AAJ_000165, AAJ_000167, AAJ_000166	AAB_000118
OG0000003	AAJ_000173	AAB_000123
OG0000004	AAJ_000147, AAJ_000146	AAB_000108
OG0000005	AAJ_000180	AAB_000126
OG0000006	AAJ_000157	AAB_000113
OG0000007	AAJ_000172	AAB_000122
OG0000008	AAJ_000171	AAB_000121
OG0000009	AAJ_000189, AAJ_000190	AAB_000135
OG0000010	AAJ_000151, AAJ_000152	AAB_000110
OG0000012	AAJ_000200, AAJ_000199	AAB_000143
OG0000013	AAJ_000158, AAJ_000159	AAB_000114
OG0000014	AAJ_000196, AAJ_000195	AAB_000140
OG0000015	AAJ_000168, AAJ_000169	AAB_000119
OG0000016	AAJ_000185	AAB_000131
OG0000017	AAJ_000191	AAB_000136
OG0000019	AAJ_000201	AAB_000144
OG0000020	AAJ_000160	AAB_000115
OG0000021	AAJ_000188	AAB_000134
OG0000022	AAJ_000145	AAB_000107
OG0000023	AAJ_000161, AAJ_000162	AAB_000116
OG0000024	AAJ_000193	AAB_000138
OG0000025	AAJ_000194	AAB_000139
OG0000026	AAJ_000198	AAB_000142
OG0000027	AAJ_000170	AAB_000120
OG0000028	AAJ_000192	AAB_000137
OG0000029	AAJ_000197	AAB_000141
OG0000030	AAJ_000150	AAB_000109
OG0000031	AAJ_000186	AAB_000132
OG0000032	AAJ_000202	AAB_000145
OG0000033	AAJ_000182	AAB_000128
OG0000034	AAJ_000181	AAB_000127
OG0000035	AAJ_000187	AAB_000133
OG0000036	AAJ_000184	AAB_000130
