Orthogroup	Ref_Epa_from_V583_fai-gene-cluster-1	t26_fai-gene-cluster-1
OG0000000	AAB_000124	AAM_000207
OG0000000	AAB_000125	AAM_000211
OG0000001	AAB_000129, AAB_000117	AAM_000216
OG0000002	AAB_000118	AAM_000195, AAM_000196, AAM_000197
OG0000004	AAB_000108	AAM_000178, AAM_000177
OG0000005	AAB_000126	AAM_000214
OG0000006	AAB_000113	AAM_000184
OG0000007	AAB_000122	AAM_000204, AAM_000205
OG0000008	AAB_000121	AAM_000202, AAM_000203
OG0000009	AAB_000135	AAM_000225, AAM_000226, AAM_000227
OG0000010	AAB_000110	AAM_000180
OG0000012	AAB_000143	AAM_000240, AAM_000239
OG0000013	AAB_000114	AAM_000185
OG0000014	AAB_000140	AAM_000235, AAM_000234
OG0000015	AAB_000119	AAM_000199
OG0000016	AAB_000131	AAM_000217
OG0000017	AAB_000136	AAM_000229
OG0000019	AAB_000144	AAM_000241, AAM_000243
OG0000020	AAB_000115	AAM_000186, AAM_000187
OG0000021	AAB_000134	AAM_000223
OG0000022	AAB_000107	AAM_000176
OG0000023	AAB_000116	AAM_000188, AAM_000189
OG0000024	AAB_000138	AAM_000232, AAM_000231
OG0000025	AAB_000139	AAM_000233
OG0000026	AAB_000142	AAM_000238
OG0000027	AAB_000120	AAM_000200
OG0000028	AAB_000137	AAM_000230
OG0000029	AAB_000141	AAM_000236, AAM_000237
OG0000031	AAB_000132	AAM_000221
OG0000032	AAB_000145	AAM_000244
OG0000033	AAB_000128	AAM_000215
OG0000035	AAB_000133	AAM_000222
