Orthogroup	Ref_Epa_from_V583_fai-gene-cluster-1	t23_fai-gene-cluster-1
OG0000000	AAB_000124	ABC_000136
OG0000001	AAB_000129, AAB_000117	ABC_000142
OG0000002	AAB_000118	ABC_000129
OG0000003	AAB_000123	ABC_000134
OG0000004	AAB_000108	ABC_000115
OG0000005	AAB_000126	ABC_000139
OG0000006	AAB_000113	ABC_000123
OG0000007	AAB_000122	ABC_000133
OG0000008	AAB_000121	ABC_000132
OG0000009	AAB_000135	ABC_000146, ABC_000147
OG0000010	AAB_000110	ABC_000118
OG0000011	AAB_000111	ABC_000119
OG0000012	AAB_000143	ABC_000156, ABC_000155
OG0000013	AAB_000114	ABC_000124
OG0000014	AAB_000140	ABC_000152
OG0000015	AAB_000119	ABC_000130
OG0000016	AAB_000131	ABC_000144
OG0000017	AAB_000136	ABC_000148
OG0000019	AAB_000144	ABC_000157
OG0000020	AAB_000115	ABC_000125
OG0000022	AAB_000107	ABC_000114
OG0000023	AAB_000116	ABC_000126
OG0000024	AAB_000138	ABC_000150
OG0000025	AAB_000139	ABC_000151
OG0000026	AAB_000142	ABC_000154
OG0000027	AAB_000120	ABC_000131
OG0000028	AAB_000137	ABC_000149
OG0000029	AAB_000141	ABC_000153
OG0000030	AAB_000109	ABC_000117
OG0000032	AAB_000145	ABC_000158
OG0000033	AAB_000128	ABC_000141
OG0000034	AAB_000127	ABC_000140
OG0000036	AAB_000130	ABC_000143
