Orthogroup	Ref_Epa_from_V583_fai-gene-cluster-1	t16_fai-gene-cluster-1
OG0000000	AAB_000124	ABA_000190, ABA_000191
OG0000000	AAB_000125	ABA_000194
OG0000001	AAB_000129, AAB_000117	ABA_000199
OG0000002	AAB_000118	ABA_000176, ABA_000177
OG0000003	AAB_000123	ABA_000186
OG0000004	AAB_000108	ABA_000158, ABA_000159, ABA_000157
OG0000005	AAB_000126	ABA_000197
OG0000006	AAB_000113	ABA_000167
OG0000007	AAB_000122	ABA_000185, ABA_000184
OG0000008	AAB_000121	ABA_000183
OG0000009	AAB_000135	ABA_000204, ABA_000205
OG0000010	AAB_000110	ABA_000161
OG0000012	AAB_000143	ABA_000217, ABA_000216
OG0000013	AAB_000114	ABA_000168, ABA_000169
OG0000014	AAB_000140	ABA_000213, ABA_000212
OG0000015	AAB_000119	ABA_000179
OG0000016	AAB_000131	ABA_000201
OG0000017	AAB_000136	ABA_000207
OG0000019	AAB_000144	ABA_000218, ABA_000219
OG0000020	AAB_000115	ABA_000170
OG0000022	AAB_000107	ABA_000156
OG0000023	AAB_000116	ABA_000171
OG0000024	AAB_000138	ABA_000210
OG0000025	AAB_000139	ABA_000211
OG0000026	AAB_000142	ABA_000215
OG0000027	AAB_000120	ABA_000181, ABA_000180
OG0000028	AAB_000137	ABA_000209, ABA_000208
OG0000029	AAB_000141	ABA_000214
OG0000032	AAB_000145	ABA_000221, ABA_000220
OG0000033	AAB_000128	ABA_000198
