Orthogroup	Ref_Epa_from_V583_fai-gene-cluster-1	t17_fai-gene-cluster-1
OG0000000	AAB_000124	AAO_000218
OG0000000	AAB_000125	AAO_000226, AAO_000227
OG0000001	AAB_000129, AAB_000117	AAO_000237
OG0000002	AAB_000118	AAO_000207, AAO_000209, AAO_000208
OG0000003	AAB_000123	AAO_000215
OG0000005	AAB_000126	AAO_000233
OG0000006	AAB_000113	AAO_000198
OG0000007	AAB_000122	AAO_000214, AAO_000213
OG0000008	AAB_000121	AAO_000212
OG0000009	AAB_000135	AAO_000245
OG0000010	AAB_000110	AAO_000189, AAO_000191
OG0000012	AAB_000143	AAO_000258, AAO_000257
OG0000013	AAB_000114	AAO_000199, AAO_000200
OG0000014	AAB_000140	AAO_000253, AAO_000252
OG0000017	AAB_000136	AAO_000247
OG0000019	AAB_000144	AAO_000259
OG0000020	AAB_000115	AAO_000201
OG0000021	AAB_000134	AAO_000244
OG0000022	AAB_000107	AAO_000187
OG0000023	AAB_000116	AAO_000202
OG0000024	AAB_000138	AAO_000249
OG0000025	AAB_000139	AAO_000251
OG0000026	AAB_000142	AAO_000256
OG0000027	AAB_000120	AAO_000210
OG0000028	AAB_000137	AAO_000248
OG0000029	AAB_000141	AAO_000254, AAO_000255
OG0000031	AAB_000132	AAO_000242
OG0000032	AAB_000145	AAO_000260
OG0000033	AAB_000128	AAO_000236
OG0000034	AAB_000127	AAO_000235
OG0000035	AAB_000133	AAO_000243
OG0000036	AAB_000130	AAO_000239
