Orthogroup	Ref_Epa_from_V583_fai-gene-cluster-1	t10_fai-gene-cluster-1
OG0000000	AAB_000124	ABB_000170, ABB_000171
OG0000000	AAB_000125	ABB_000174
OG0000001	AAB_000129, AAB_000117	ABB_000158
OG0000002	AAB_000118	ABB_000162, ABB_000161
OG0000003	AAB_000123	ABB_000169
OG0000004	AAB_000108	ABB_000143
OG0000005	AAB_000126	ABB_000177
OG0000006	AAB_000113	ABB_000153
OG0000007	AAB_000122	ABB_000168, ABB_000167
OG0000008	AAB_000121	ABB_000166
OG0000009	AAB_000135	ABB_000185, ABB_000186
OG0000010	AAB_000110	ABB_000147, ABB_000149, ABB_000148
OG0000012	AAB_000143	ABB_000201, ABB_000199, ABB_000200
OG0000013	AAB_000114	ABB_000154, ABB_000155
OG0000014	AAB_000140	ABB_000195, ABB_000194
OG0000015	AAB_000119	ABB_000163, ABB_000164
OG0000017	AAB_000136	ABB_000188, ABB_000189
OG0000019	AAB_000144	ABB_000202
OG0000020	AAB_000115	ABB_000156
OG0000021	AAB_000134	ABB_000184
OG0000023	AAB_000116	ABB_000157
OG0000024	AAB_000138	ABB_000192, ABB_000191
OG0000025	AAB_000139	ABB_000193
OG0000026	AAB_000142	ABB_000198, ABB_000197
OG0000027	AAB_000120	ABB_000165
OG0000028	AAB_000137	ABB_000190
OG0000029	AAB_000141	ABB_000196
OG0000030	AAB_000109	ABB_000146
OG0000032	AAB_000145	ABB_000203
OG0000033	AAB_000128	ABB_000179
OG0000034	AAB_000127	ABB_000178
OG0000035	AAB_000133	ABB_000183, ABB_000182
