Orthogroup	Ref_Epa_from_V583_fai-gene-cluster-1	t28_fai-gene-cluster-1
OG0000000	AAB_000124	AAF_000146
OG0000000	AAB_000125	AAF_000148
OG0000001	AAB_000129, AAB_000117	AAF_000155, AAF_000135
OG0000002	AAB_000118	AAF_000137
OG0000003	AAB_000123	AAF_000145
OG0000004	AAB_000108	AAF_000122
OG0000005	AAB_000126	AAF_000151, AAF_000152
OG0000006	AAB_000113	AAF_000130
OG0000007	AAB_000122	AAF_000144, AAF_000143
OG0000008	AAB_000121	AAF_000142
OG0000009	AAB_000135	AAF_000162
OG0000010	AAB_000110	AAF_000124, AAF_000126, AAF_000125
OG0000011	AAB_000111	AAF_000127
OG0000012	AAB_000143	AAF_000171
OG0000013	AAB_000114	AAF_000131, AAF_000132
OG0000014	AAB_000140	AAF_000168
OG0000015	AAB_000119	AAF_000139, AAF_000140
OG0000016	AAB_000131	AAF_000158
OG0000017	AAB_000136	AAF_000163
OG0000018	AAB_000112	AAF_000128
OG0000019	AAB_000144	AAF_000172, AAF_000173
OG0000020	AAB_000115	AAF_000133
OG0000021	AAB_000134	AAF_000161
OG0000022	AAB_000107	AAF_000121
OG0000023	AAB_000116	AAF_000134
OG0000024	AAB_000138	AAF_000166, AAF_000165
OG0000026	AAB_000142	AAF_000170
OG0000027	AAB_000120	AAF_000141
OG0000028	AAB_000137	AAF_000164
OG0000029	AAB_000141	AAF_000169
OG0000031	AAB_000132	AAF_000159
OG0000032	AAB_000145	AAF_000174
OG0000033	AAB_000128	AAF_000154
OG0000034	AAB_000127	AAF_000153
OG0000035	AAB_000133	AAF_000160
OG0000036	AAB_000130	AAF_000157
