Orthogroup	Ref_Epa_from_V583_fai-gene-cluster-1	t4_fai-gene-cluster-1
OG0000000	AAB_000124	ABD_000217
OG0000000	AAB_000125	ABD_000225
OG0000001	AAB_000129, AAB_000117	ABD_000230
OG0000002	AAB_000118	ABD_000201, ABD_000202
OG0000004	AAB_000108	ABD_000178, ABD_000180, ABD_000179
OG0000005	AAB_000126	ABD_000228
OG0000006	AAB_000113	ABD_000189
OG0000007	AAB_000122	ABD_000213, ABD_000211, ABD_000214, ABD_000212
OG0000008	AAB_000121	ABD_000209, ABD_000210
OG0000009	AAB_000135	ABD_000240, ABD_000241
OG0000010	AAB_000110	ABD_000182
OG0000012	AAB_000143	ABD_000252, ABD_000253, ABD_000251
OG0000013	AAB_000114	ABD_000190
OG0000014	AAB_000140	ABD_000248, ABD_000247
OG0000015	AAB_000119	ABD_000205, ABD_000204, ABD_000206
OG0000016	AAB_000131	ABD_000233
OG0000017	AAB_000136	ABD_000243
OG0000019	AAB_000144	ABD_000254
OG0000020	AAB_000115	ABD_000191, ABD_000192, ABD_000193
OG0000021	AAB_000134	ABD_000238
OG0000022	AAB_000107	ABD_000177
OG0000023	AAB_000116	ABD_000194, ABD_000195
OG0000024	AAB_000138	ABD_000245
OG0000025	AAB_000139	ABD_000246
OG0000026	AAB_000142	ABD_000250
OG0000027	AAB_000120	ABD_000207
OG0000028	AAB_000137	ABD_000244
OG0000029	AAB_000141	ABD_000249
OG0000031	AAB_000132	ABD_000236
OG0000032	AAB_000145	ABD_000256, ABD_000255
OG0000033	AAB_000128	ABD_000229
OG0000035	AAB_000133	ABD_000237
OG0000036	AAB_000130	ABD_000232
