Orthogroup	Ref_Epa_from_V583_fai-gene-cluster-1	t3_fai-gene-cluster-1
OG0000000	AAB_000124	AAK_000184
OG0000000	AAB_000125	AAK_000185
OG0000001	AAB_000129, AAB_000117	AAK_000192
OG0000002	AAB_000118	AAK_000172
OG0000003	AAB_000123	AAK_000181
OG0000004	AAB_000108	AAK_000156
OG0000005	AAB_000126	AAK_000190
OG0000006	AAB_000113	AAK_000163
OG0000007	AAB_000122	AAK_000180
OG0000008	AAB_000121	AAK_000178, AAK_000179
OG0000009	AAB_000135	AAK_000199, AAK_000200
OG0000010	AAB_000110	AAK_000159
OG0000012	AAB_000143	AAK_000210
OG0000013	AAB_000114	AAK_000164
OG0000014	AAB_000140	AAK_000207, AAK_000206
OG0000015	AAB_000119	AAK_000173, AAK_000174, AAK_000175
OG0000016	AAB_000131	AAK_000193
OG0000017	AAB_000136	AAK_000202
OG0000019	AAB_000144	AAK_000211, AAK_000212
OG0000020	AAB_000115	AAK_000165, AAK_000166
OG0000021	AAB_000134	AAK_000197
OG0000022	AAB_000107	AAK_000155
OG0000023	AAB_000116	AAK_000167
OG0000024	AAB_000138	AAK_000204
OG0000025	AAB_000139	AAK_000205
OG0000026	AAB_000142	AAK_000209
OG0000027	AAB_000120	AAK_000176
OG0000028	AAB_000137	AAK_000203
OG0000029	AAB_000141	AAK_000208
OG0000030	AAB_000109	AAK_000158
OG0000031	AAB_000132	AAK_000195
OG0000032	AAB_000145	AAK_000213
OG0000033	AAB_000128	AAK_000191
OG0000035	AAB_000133	AAK_000196
