Orthogroup	Ref_Epa_from_V583_fai-gene-cluster-1	t24_fai-gene-cluster-1
OG0000000	AAB_000124	AAH_000151
OG0000000	AAB_000125	AAH_000154
OG0000001	AAB_000129, AAB_000117	AAH_000141
OG0000002	AAB_000118	AAH_000143
OG0000003	AAB_000123	AAH_000150
OG0000004	AAB_000108	AAH_000128
OG0000005	AAB_000126	AAH_000157, AAH_000158
OG0000006	AAB_000113	AAH_000136
OG0000007	AAB_000122	AAH_000149, AAH_000148
OG0000008	AAB_000121	AAH_000147
OG0000009	AAB_000135	AAH_000168
OG0000010	AAB_000110	AAH_000130, AAH_000132, AAH_000131
OG0000011	AAB_000111	AAH_000133
OG0000012	AAB_000143	AAH_000177
OG0000013	AAB_000114	AAH_000137, AAH_000138
OG0000014	AAB_000140	AAH_000174
OG0000015	AAB_000119	AAH_000144, AAH_000145
OG0000016	AAB_000131	AAH_000163
OG0000017	AAB_000136	AAH_000169
OG0000018	AAB_000112	AAH_000134
OG0000019	AAB_000144	AAH_000178, AAH_000179
OG0000020	AAB_000115	AAH_000139
OG0000021	AAB_000134	AAH_000167
OG0000022	AAB_000107	AAH_000127
OG0000023	AAB_000116	AAH_000140
OG0000024	AAB_000138	AAH_000172, AAH_000171
OG0000026	AAB_000142	AAH_000176
OG0000027	AAB_000120	AAH_000146
OG0000028	AAB_000137	AAH_000170
OG0000029	AAB_000141	AAH_000175
OG0000031	AAB_000132	AAH_000165
OG0000032	AAB_000145	AAH_000180
OG0000033	AAB_000128	AAH_000160
OG0000034	AAB_000127	AAH_000159
OG0000035	AAB_000133	AAH_000166
OG0000036	AAB_000130	AAH_000162
