Orthogroup	Ref_Epa_from_V583_fai-gene-cluster-1	t13_fai-gene-cluster-1
OG0000000	AAB_000124	AAT_000164
OG0000001	AAB_000129, AAB_000117	AAT_000172
OG0000002	AAB_000118	AAT_000152, AAT_000153
OG0000003	AAB_000123	AAT_000161
OG0000004	AAB_000108	AAT_000135
OG0000005	AAB_000126	AAT_000168
OG0000006	AAB_000113	AAT_000145
OG0000007	AAB_000122	AAT_000159, AAT_000160, AAT_000158
OG0000008	AAB_000121	AAT_000157
OG0000009	AAB_000135	AAT_000177, AAT_000178
OG0000010	AAB_000110	AAT_000138, AAT_000139
OG0000011	AAB_000111	AAT_000140
OG0000012	AAB_000143	AAT_000187, AAT_000188, AAT_000186
OG0000013	AAB_000114	AAT_000146
OG0000014	AAB_000140	AAT_000183
OG0000015	AAB_000119	AAT_000154
OG0000016	AAB_000131	AAT_000174
OG0000017	AAB_000136	AAT_000179
OG0000018	AAB_000112	AAT_000142
OG0000019	AAB_000144	AAT_000189
OG0000020	AAB_000115	AAT_000147
OG0000022	AAB_000107	AAT_000134
OG0000023	AAB_000116	AAT_000148
OG0000024	AAB_000138	AAT_000181
OG0000025	AAB_000139	AAT_000182
OG0000026	AAB_000142	AAT_000185
OG0000027	AAB_000120	AAT_000155
OG0000028	AAB_000137	AAT_000180
OG0000029	AAB_000141	AAT_000184
OG0000030	AAB_000109	AAT_000137
OG0000032	AAB_000145	AAT_000190
OG0000033	AAB_000128	AAT_000171
OG0000034	AAB_000127	AAT_000169, AAT_000170
OG0000036	AAB_000130	AAT_000173
