Orthogroup	Ref_Epa_from_V583_fai-gene-cluster-1	t7_fai-gene-cluster-1
OG0000000	AAB_000124	AAC_000160
OG0000001	AAB_000129, AAB_000117	AAC_000167
OG0000002	AAB_000118	AAC_000150, AAC_000151
OG0000003	AAB_000123	AAC_000157
OG0000004	AAB_000108	AAC_000133
OG0000005	AAB_000126	AAC_000164
OG0000006	AAB_000113	AAC_000143
OG0000007	AAB_000122	AAC_000156
OG0000008	AAB_000121	AAC_000155
OG0000009	AAB_000135	AAC_000172, AAC_000173
OG0000010	AAB_000110	AAC_000136, AAC_000137
OG0000011	AAB_000111	AAC_000138
OG0000012	AAB_000143	AAC_000182, AAC_000181
OG0000013	AAB_000114	AAC_000144
OG0000014	AAB_000140	AAC_000178
OG0000015	AAB_000119	AAC_000152, AAC_000153
OG0000016	AAB_000131	AAC_000169
OG0000017	AAB_000136	AAC_000174
OG0000018	AAB_000112	AAC_000140
OG0000019	AAB_000144	AAC_000183
OG0000020	AAB_000115	AAC_000145
OG0000022	AAB_000107	AAC_000132
OG0000023	AAB_000116	AAC_000146
OG0000024	AAB_000138	AAC_000176
OG0000025	AAB_000139	AAC_000177
OG0000026	AAB_000142	AAC_000180
OG0000027	AAB_000120	AAC_000154
OG0000028	AAB_000137	AAC_000175
OG0000029	AAB_000141	AAC_000179
OG0000030	AAB_000109	AAC_000135
OG0000032	AAB_000145	AAC_000184
OG0000033	AAB_000128	AAC_000166
OG0000034	AAB_000127	AAC_000165
OG0000036	AAB_000130	AAC_000168
