Orthogroup	Ref_Epa_from_V583_fai-gene-cluster-1	t15_fai-gene-cluster-1
OG0000000	AAB_000124	AAQ_000191
OG0000000	AAB_000125	AAQ_000194
OG0000001	AAB_000129, AAB_000117	AAQ_000201, AAQ_000181
OG0000002	AAB_000118	AAQ_000185, AAQ_000186
OG0000003	AAB_000123	AAQ_000190
OG0000004	AAB_000108	AAQ_000169
OG0000005	AAB_000126	AAQ_000197
OG0000006	AAB_000113	AAQ_000177
OG0000007	AAB_000122	AAQ_000189
OG0000008	AAB_000121	AAQ_000188
OG0000009	AAB_000135	AAQ_000208, AAQ_000209
OG0000010	AAB_000110	AAQ_000172, AAQ_000173
OG0000012	AAB_000143	AAQ_000222, AAQ_000221
OG0000013	AAB_000114	AAQ_000178, AAQ_000179
OG0000014	AAB_000140	AAQ_000216, AAQ_000215
OG0000016	AAB_000131	AAQ_000203
OG0000017	AAB_000136	AAQ_000211
OG0000019	AAB_000144	AAQ_000223
OG0000020	AAB_000115	AAQ_000180
OG0000021	AAB_000134	AAQ_000207
OG0000022	AAB_000107	AAQ_000168
OG0000024	AAB_000138	AAQ_000213
OG0000025	AAB_000139	AAQ_000214
OG0000026	AAB_000142	AAQ_000219, AAQ_000218
OG0000027	AAB_000120	AAQ_000187
OG0000028	AAB_000137	AAQ_000212
OG0000029	AAB_000141	AAQ_000217
OG0000030	AAB_000109	AAQ_000171
OG0000031	AAB_000132	AAQ_000205
OG0000032	AAB_000145	AAQ_000224
OG0000033	AAB_000128	AAQ_000200
OG0000034	AAB_000127	AAQ_000198, AAQ_000199
OG0000035	AAB_000133	AAQ_000206
