Orthogroup	Ref_Epa_from_V583_fai-gene-cluster-1	t12_fai-gene-cluster-1
OG0000000	AAB_000124	AAA_000147
OG0000000	AAB_000125	AAA_000149
OG0000001	AAB_000129, AAB_000117	AAA_000136
OG0000002	AAB_000118	AAA_000138
OG0000003	AAB_000123	AAA_000145
OG0000004	AAB_000108	AAA_000124
OG0000005	AAB_000126	AAA_000150
OG0000006	AAB_000113	AAA_000131
OG0000007	AAB_000122	AAA_000144
OG0000008	AAB_000121	AAA_000143
OG0000009	AAB_000135	AAA_000161
OG0000010	AAB_000110	AAA_000126, AAA_000127
OG0000011	AAB_000111	AAA_000128
OG0000012	AAB_000143	AAA_000170
OG0000013	AAB_000114	AAA_000132
OG0000014	AAB_000140	AAA_000167
OG0000015	AAB_000119	AAA_000139, AAA_000140
OG0000017	AAB_000136	AAA_000163
OG0000018	AAB_000112	AAA_000130
OG0000019	AAB_000144	AAA_000171, AAA_000172
OG0000020	AAB_000115	AAA_000133, AAA_000134
OG0000021	AAB_000134	AAA_000160
OG0000023	AAB_000116	AAA_000135
OG0000024	AAB_000138	AAA_000165
OG0000025	AAB_000139	AAA_000166
OG0000026	AAB_000142	AAA_000169
OG0000027	AAB_000120	AAA_000141
OG0000028	AAB_000137	AAA_000164
OG0000029	AAB_000141	AAA_000168
OG0000030	AAB_000109	AAA_000125
OG0000031	AAB_000132	AAA_000157
OG0000032	AAB_000145	AAA_000173
OG0000033	AAB_000128	AAA_000153
OG0000034	AAB_000127	AAA_000151, AAA_000152
OG0000035	AAB_000133	AAA_000159
OG0000036	AAB_000130	AAA_000155
