Orthogroup	Ref_Epa_from_V583_fai-gene-cluster-1	t2_fai-gene-cluster-1
OG0000000	AAB_000124	AAJ_000176
OG0000000	AAB_000125	AAJ_000177
OG0000001	AAB_000129, AAB_000117	AAJ_000163
OG0000002	AAB_000118	AAJ_000165, AAJ_000167, AAJ_000166
OG0000003	AAB_000123	AAJ_000173
OG0000004	AAB_000108	AAJ_000147, AAJ_000146
OG0000005	AAB_000126	AAJ_000180
OG0000006	AAB_000113	AAJ_000157
OG0000007	AAB_000122	AAJ_000172
OG0000008	AAB_000121	AAJ_000171
OG0000009	AAB_000135	AAJ_000189, AAJ_000190
OG0000010	AAB_000110	AAJ_000151, AAJ_000152
OG0000012	AAB_000143	AAJ_000200, AAJ_000199
OG0000013	AAB_000114	AAJ_000158, AAJ_000159
OG0000014	AAB_000140	AAJ_000196, AAJ_000195
OG0000015	AAB_000119	AAJ_000168, AAJ_000169
OG0000016	AAB_000131	AAJ_000185
OG0000017	AAB_000136	AAJ_000191
OG0000019	AAB_000144	AAJ_000201
OG0000020	AAB_000115	AAJ_000160
OG0000021	AAB_000134	AAJ_000188
OG0000022	AAB_000107	AAJ_000145
OG0000023	AAB_000116	AAJ_000161, AAJ_000162
OG0000024	AAB_000138	AAJ_000193
OG0000025	AAB_000139	AAJ_000194
OG0000026	AAB_000142	AAJ_000198
OG0000027	AAB_000120	AAJ_000170
OG0000028	AAB_000137	AAJ_000192
OG0000029	AAB_000141	AAJ_000197
OG0000030	AAB_000109	AAJ_000150
OG0000031	AAB_000132	AAJ_000186
OG0000032	AAB_000145	AAJ_000202
OG0000033	AAB_000128	AAJ_000182
OG0000034	AAB_000127	AAJ_000181
OG0000035	AAB_000133	AAJ_000187
OG0000036	AAB_000130	AAJ_000184
