Orthogroup	Ref_Epa_from_V583_fai-gene-cluster-1	t6_fai-gene-cluster-1
OG0000000	AAB_000124	AAX_000158
OG0000000	AAB_000125	AAX_000159
OG0000001	AAB_000129, AAB_000117	AAX_000148
OG0000002	AAB_000118	AAX_000150
OG0000003	AAB_000123	AAX_000156
OG0000004	AAB_000108	AAX_000131, AAX_000130
OG0000005	AAB_000126	AAX_000162
OG0000006	AAB_000113	AAX_000142
OG0000007	AAB_000122	AAX_000155
OG0000008	AAB_000121	AAX_000154
OG0000009	AAB_000135	AAX_000171, AAX_000172
OG0000010	AAB_000110	AAX_000135, AAX_000136
OG0000012	AAB_000143	AAX_000183, AAX_000182
OG0000013	AAB_000114	AAX_000143, AAX_000144
OG0000014	AAB_000140	AAX_000179, AAX_000178
OG0000015	AAB_000119	AAX_000151, AAX_000152
OG0000016	AAB_000131	AAX_000167
OG0000017	AAB_000136	AAX_000173
OG0000019	AAB_000144	AAX_000184
OG0000020	AAB_000115	AAX_000145
OG0000021	AAB_000134	AAX_000170
OG0000022	AAB_000107	AAX_000129
OG0000023	AAB_000116	AAX_000146, AAX_000147
OG0000024	AAB_000138	AAX_000176
OG0000025	AAB_000139	AAX_000177
OG0000026	AAB_000142	AAX_000181
OG0000027	AAB_000120	AAX_000153
OG0000028	AAB_000137	AAX_000175, AAX_000174
OG0000029	AAB_000141	AAX_000180
OG0000030	AAB_000109	AAX_000134
OG0000031	AAB_000132	AAX_000168
OG0000032	AAB_000145	AAX_000185
OG0000033	AAB_000128	AAX_000164
OG0000034	AAB_000127	AAX_000163
OG0000035	AAB_000133	AAX_000169
OG0000036	AAB_000130	AAX_000166
