Orthogroup	t3_fai-gene-cluster-1	t20_fai-gene-cluster-1
OG0000000	AAK_000185	AAN_000143
OG0000000	AAK_000184	AAN_000141
OG0000000	AAK_000186	AAN_000144
OG0000001	AAK_000168, AAK_000170, AAK_000169	AAN_000134
OG0000002	AAK_000172	AAN_000135
OG0000003	AAK_000181, AAK_000182, AAK_000183	AAN_000140
OG0000004	AAK_000156	AAN_000122
OG0000005	AAK_000190	AAN_000146
OG0000006	AAK_000163	AAN_000130
OG0000006	AAK_000162	AAN_000129
OG0000007	AAK_000180	AAN_000139
OG0000008	AAK_000177, AAK_000178, AAK_000179	AAN_000138
OG0000009	AAK_000199	AAN_000153
OG0000009	AAK_000200	AAN_000154
OG0000011	AAK_000160	AAN_000127
OG0000014	AAK_000207, AAK_000206	AAN_000159
OG0000015	AAK_000174, AAK_000175	AAN_000136
OG0000016	AAK_000193	AAN_000150, AAN_000151
OG0000017	AAK_000201, AAK_000202	AAN_000155
OG0000018	AAK_000161	AAN_000128
OG0000019	AAK_000211, AAK_000212	AAN_000163
OG0000020	AAK_000165	AAN_000132
OG0000021	AAK_000198, AAK_000197	AAN_000152
OG0000022	AAK_000155	AAN_000121
OG0000023	AAK_000167	AAN_000133
OG0000024	AAK_000204	AAN_000157
OG0000025	AAK_000205	AAN_000158
OG0000026	AAK_000209	AAN_000161
OG0000027	AAK_000176	AAN_000137
OG0000028	AAK_000203	AAN_000156
OG0000029	AAK_000208	AAN_000160
OG0000030	AAK_000158	AAN_000123
OG0000032	AAK_000213	AAN_000164
OG0000033	AAK_000191	AAN_000147
