Orthogroup	t3_fai-gene-cluster-1	Ref_Epa_from_V583_fai-gene-cluster-1
OG0000000	AAK_000185	AAB_000125
OG0000000	AAK_000184	AAB_000124
OG0000001	AAK_000192	AAB_000117, AAB_000129
OG0000002	AAK_000172	AAB_000118
OG0000003	AAK_000181	AAB_000123
OG0000004	AAK_000156	AAB_000108
OG0000005	AAK_000189, AAK_000190	AAB_000126
OG0000006	AAK_000163	AAB_000113
OG0000007	AAK_000180	AAB_000122
OG0000008	AAK_000177, AAK_000178, AAK_000179	AAB_000121
OG0000009	AAK_000199, AAK_000200	AAB_000135
OG0000012	AAK_000210	AAB_000143
OG0000013	AAK_000164	AAB_000114
OG0000014	AAK_000207, AAK_000206	AAB_000140
OG0000015	AAK_000174, AAK_000175	AAB_000119
OG0000016	AAK_000193	AAB_000131
OG0000017	AAK_000201, AAK_000202	AAB_000136
OG0000018	AAK_000161	AAB_000112
OG0000019	AAK_000211, AAK_000212	AAB_000144
OG0000020	AAK_000165	AAB_000115
OG0000021	AAK_000197	AAB_000134
OG0000024	AAK_000204	AAB_000138
OG0000025	AAK_000205	AAB_000139
OG0000026	AAK_000209	AAB_000142
OG0000027	AAK_000176	AAB_000120
OG0000028	AAK_000203	AAB_000137
OG0000029	AAK_000208	AAB_000141
OG0000030	AAK_000158	AAB_000109
OG0000031	AAK_000195	AAB_000132
OG0000032	AAK_000213	AAB_000145
OG0000033	AAK_000191	AAB_000128
OG0000035	AAK_000196	AAB_000133
