Orthogroup	t15_fai-gene-cluster-1	Ref_Epa_from_V583_fai-gene-cluster-1
OG0000000	AAQ_000194	AAB_000125
OG0000000	AAQ_000191	AAB_000124
OG0000001	AAQ_000201, AAQ_000181	AAB_000117, AAB_000129
OG0000002	AAQ_000185, AAQ_000186	AAB_000118
OG0000003	AAQ_000190	AAB_000123
OG0000004	AAQ_000169	AAB_000108
OG0000005	AAQ_000196, AAQ_000197	AAB_000126
OG0000006	AAQ_000177	AAB_000113
OG0000007	AAQ_000189	AAB_000122
OG0000009	AAQ_000208, AAQ_000209	AAB_000135
OG0000010	AAQ_000173	AAB_000110
OG0000012	AAQ_000221, AAQ_000222	AAB_000143
OG0000013	AAQ_000179	AAB_000114
OG0000014	AAQ_000216, AAQ_000215	AAB_000140
OG0000016	AAQ_000203	AAB_000131
OG0000017	AAQ_000210, AAQ_000211	AAB_000136
OG0000018	AAQ_000175	AAB_000112
OG0000019	AAQ_000223	AAB_000144
OG0000020	AAQ_000180	AAB_000115
OG0000021	AAQ_000207	AAB_000134
OG0000022	AAQ_000167	AAB_000107
OG0000024	AAQ_000213	AAB_000138
OG0000025	AAQ_000214	AAB_000139
OG0000026	AAQ_000219, AAQ_000218	AAB_000142
OG0000027	AAQ_000187	AAB_000120
OG0000028	AAQ_000212	AAB_000137
OG0000029	AAQ_000217	AAB_000141
OG0000030	AAQ_000171	AAB_000109
OG0000031	AAQ_000205	AAB_000132
OG0000032	AAQ_000224	AAB_000145
OG0000033	AAQ_000200	AAB_000128
OG0000034	AAQ_000198, AAQ_000199	AAB_000127
OG0000035	AAQ_000206	AAB_000133
