Orthogroup	t8_fai-gene-cluster-1	Ref_Epa_from_V583_fai-gene-cluster-1
OG0000000	AAE_000224, AAE_000223	AAB_000125
OG0000000	AAE_000216	AAB_000124
OG0000001	AAE_000234	AAB_000117, AAB_000129
OG0000002	AAE_000203, AAE_000204, AAE_000205	AAB_000118
OG0000003	AAE_000213	AAB_000123
OG0000004	AAE_000183	AAB_000108
OG0000005	AAE_000231, AAE_000229, AAE_000228, AAE_000230	AAB_000126
OG0000006	AAE_000192	AAB_000113
OG0000007	AAE_000211, AAE_000212	AAB_000122
OG0000008	AAE_000208, AAE_000209, AAE_000210	AAB_000121
OG0000009	AAE_000243	AAB_000135
OG0000010	AAE_000186	AAB_000110
OG0000011	AAE_000187	AAB_000111
OG0000012	AAE_000256, AAE_000257	AAB_000143
OG0000013	AAE_000194	AAB_000114
OG0000014	AAE_000251, AAE_000250	AAB_000140
OG0000017	AAE_000244, AAE_000245	AAB_000136
OG0000018	AAE_000189	AAB_000112
OG0000019	AAE_000258, AAE_000259	AAB_000144
OG0000021	AAE_000242	AAB_000134
OG0000022	AAE_000180	AAB_000107
OG0000023	AAE_000197	AAB_000116
OG0000024	AAE_000247	AAB_000138
OG0000025	AAE_000248, AAE_000249	AAB_000139
OG0000026	AAE_000255, AAE_000254	AAB_000142
OG0000027	AAE_000206	AAB_000120
OG0000028	AAE_000246	AAB_000137
OG0000029	AAE_000253, AAE_000252	AAB_000141
OG0000032	AAE_000260	AAB_000145
OG0000033	AAE_000233	AAB_000128
OG0000035	AAE_000241, AAE_000240	AAB_000133
OG0000036	AAE_000236	AAB_000130
