Ortholog Group (OG) ID	OG is Single Copy?	Proportion of Total Gene Clusters with OG	OG Median Length (bp)	OG Consensus Order	OG Consensus Direction	Tajima's D	Proportion of Filtered Codon Alignment is Segregating Sites	Entropy	Upstream Region Entropy	Median Beta-RD-gc	Max Beta-RD-gc	Proportion of sites which are highly ambiguous in codon alignment	Proportion of sites which are highly ambiguous in trimmed codon alignment	Median GC	Median GC Skew	GARD Partitions Based on Recombination Breakpoints	Number of Sites Identified as Under Positive or Negative Selection by FUBAR	Average delta(Beta, Alpha) by FUBAR across sites	Proportion of Sites Under Selection which are Positive	Custom Annotation (E-value)
OG_86	True	0.534090909	1812	1	"-"	0.645442376	0.786400591	0.186380872	0.213661494	0.968429806	1.005249344	0.280701754	0	0.299668874	-0.173674589	NA	239	-1.957598475	0.025104603	EF2164 (3.56e-270)
OG_87	True	0.999188312	960	2	"-"	1.004797392	0.156118143	0.032009363	0.508153718	0.986613297	1.006071468	0.039513678	0	0.371875	-0.097142857	NA	72	-1.95797842	0.097222222	EF2165 (1.07e-227)
OG_88	True	0.416396104	1422	3	"-"	1.878083701	0.073995772	0.020157468	0.268489643	0.997258138	1.007142857	0	0	0.313642757	-0.219730942	NA	45	-3.507325422	0	EF2166 (0.0)
OG_89	True	0.326298701	972	4	"-"	3.224735333	0.079463364	0.02688492	0.01206942	0.99042982	1.005968178	0	0	0.308641975	-0.22	NA	24	-2.455365376	0.083333333	EF2167 (1.15e-235)
OG_90	True	0.439935065	825	5	"-"	3.098928969	0.590024331	0.207661853	0.374734667	0.956334783	1.004878049	0.028368794	0	0.312727273	-0.155466148	NA	81	-2.98542865	0.037037037	EF2168 (9.15e-181)
OG_92	True	0.943181818	1416	6	"-"	7.497275896	0.810690423	0.451926859	0.529648451	0.362350824	1.005461489	0.096579477	0	0.294491525	-0.171624714	NA	222	-1.935283452	0.004504505	EF2169 (2.34e-112)
OG_93	True	0.996753247	981	7	"-"	5.780884423	0.789583333	0.372331297	0.367204747	0.530260286	1.006383094	0.047619048	0	0.306666667	-0.224489796	NA	167	-2.67030296	0	EF2170|epaX (1.81e-154)
OG_94	True	0.767857143	1059	8	"-"	1.985143523	0.408787011	0.113958355	0.093631957	0.997159091	1.00530037	0.025139665	0	0.364494806	-0.14507772	NA	75	-2.535204028	0.066666667	EF2171 (5.59e-253)
OG_95	True	0.768668831	705	9	"-"	0.169081248	0.123032904	0.021706861	0.044721356	0.999314804	1.009132326	0.004273504	0	0.344680851	-0.118367347	NA	23	-2.812446918	0	EF2172 (5.91e-173)
OG_96	False	0.011363636	1179	10	"+"	NA	NA	NA	NA	NA	NA	0	0	0.350296862	0.050847458	NA	NA	NA	NA	EF2173 (2.97e-291)
