Orthogroup	t22_fai-gene-cluster-1	Ref_Epa_from_V583_fai-gene-cluster-1
OG0000000	AAU_000195	AAB_000125
OG0000000	AAU_000193	AAB_000124
OG0000001	AAU_000199	AAB_000117, AAB_000129
OG0000002	AAU_000177, AAU_000178	AAB_000118
OG0000003	AAU_000190	AAB_000123
OG0000004	AAU_000159	AAB_000108
OG0000005	AAU_000196, AAU_000197	AAB_000126
OG0000006	AAU_000169	AAB_000113
OG0000007	AAU_000188, AAU_000189	AAB_000122
OG0000008	AAU_000185, AAU_000186, AAU_000187	AAB_000121
OG0000009	AAU_000205, AAU_000206	AAB_000135
OG0000010	AAU_000163	AAB_000110
OG0000011	AAU_000164	AAB_000111
OG0000012	AAU_000216	AAB_000143
OG0000013	AAU_000170	AAB_000114
OG0000014	AAU_000213, AAU_000212	AAB_000140
OG0000015	AAU_000181, AAU_000182	AAB_000119
OG0000016	AAU_000200	AAB_000131
OG0000017	AAU_000207, AAU_000208	AAB_000136
OG0000018	AAU_000166	AAB_000112
OG0000019	AAU_000217, AAU_000218	AAB_000144
OG0000021	AAU_000203	AAB_000134
OG0000024	AAU_000210	AAB_000138
OG0000025	AAU_000211	AAB_000139
OG0000026	AAU_000215	AAB_000142
OG0000027	AAU_000183	AAB_000120
OG0000028	AAU_000209	AAB_000137
OG0000029	AAU_000214	AAB_000141
OG0000030	AAU_000161	AAB_000109
OG0000031	AAU_000201	AAB_000132
OG0000032	AAU_000219	AAB_000145
OG0000033	AAU_000198	AAB_000128
OG0000035	AAU_000202	AAB_000133
