Orthogroup	t23_fai-gene-cluster-1	Ref_Epa_from_V583_fai-gene-cluster-1
OG0000000	ABC_000136	AAB_000124
OG0000001	ABC_000142	AAB_000117, AAB_000129
OG0000002	ABC_000129	AAB_000118
OG0000003	ABC_000134	AAB_000123
OG0000004	ABC_000115	AAB_000108
OG0000005	ABC_000139	AAB_000126
OG0000006	ABC_000123	AAB_000113
OG0000007	ABC_000133	AAB_000122
OG0000008	ABC_000132	AAB_000121
OG0000009	ABC_000146, ABC_000147	AAB_000135
OG0000010	ABC_000118	AAB_000110
OG0000011	ABC_000119	AAB_000111
OG0000012	ABC_000155, ABC_000156	AAB_000143
OG0000014	ABC_000152	AAB_000140
OG0000015	ABC_000130	AAB_000119
OG0000016	ABC_000144	AAB_000131
OG0000017	ABC_000148	AAB_000136
OG0000019	ABC_000157	AAB_000144
OG0000020	ABC_000125	AAB_000115
OG0000021	ABC_000145	AAB_000134
OG0000022	ABC_000114	AAB_000107
OG0000023	ABC_000126	AAB_000116
OG0000024	ABC_000150	AAB_000138
OG0000025	ABC_000151	AAB_000139
OG0000026	ABC_000154	AAB_000142
OG0000027	ABC_000131	AAB_000120
OG0000028	ABC_000149	AAB_000137
OG0000029	ABC_000153	AAB_000141
OG0000030	ABC_000117	AAB_000109
OG0000032	ABC_000158	AAB_000145
OG0000033	ABC_000141	AAB_000128
OG0000034	ABC_000140	AAB_000127
OG0000036	ABC_000143	AAB_000130
