Orthogroup	t9_fai-gene-cluster-1	t19_fai-gene-cluster-1
OG0000000	AAZ_000154	AAR_000205
OG0000000	AAZ_000153	AAR_000200
OG0000000	AAZ_000155	AAR_000208, AAR_000207
OG0000001	AAZ_000141	AAR_000214, AAR_000186
OG0000001	AAZ_000160	AAR_000187
OG0000002	AAZ_000143	AAR_000189
OG0000002	AAZ_000144	AAR_000190
OG0000002	AAZ_000145	AAR_000191
OG0000002	AAZ_000142	AAR_000188
OG0000003	AAZ_000152	AAR_000197
OG0000004	AAZ_000126	AAR_000168
OG0000005	AAZ_000156	AAR_000211, AAR_000209
OG0000006	AAZ_000134	AAR_000180
OG0000006	AAZ_000133	AAR_000179
OG0000007	AAZ_000150	AAR_000195
OG0000007	AAZ_000151	AAR_000196
OG0000008	AAZ_000149	AAR_000194
OG0000009	AAZ_000168	AAR_000222
OG0000010	AAZ_000130	AAR_000173
OG0000010	AAZ_000128	AAR_000171
OG0000011	AAZ_000131	AAR_000174, AAR_000175
OG0000013	AAZ_000136	AAR_000182
OG0000013	AAZ_000135	AAR_000181
OG0000014	AAZ_000174	AAR_000228, AAR_000227
OG0000016	AAZ_000162	AAR_000216
OG0000017	AAZ_000169	AAR_000223
OG0000018	AAZ_000132	AAR_000177
OG0000019	AAZ_000179	AAR_000232
OG0000020	AAZ_000137	AAR_000183
OG0000020	AAZ_000138	AAR_000184
OG0000021	AAZ_000167, AAZ_000166	AAR_000221
OG0000023	AAZ_000139	AAR_000185
OG0000024	AAZ_000172	AAR_000225
OG0000026	AAZ_000176	AAR_000230
OG0000027	AAZ_000148	AAR_000192
OG0000028	AAZ_000170	AAR_000224
OG0000029	AAZ_000175	AAR_000229
OG0000031	AAZ_000164	AAR_000217
OG0000032	AAZ_000180	AAR_000233
OG0000033	AAZ_000159	AAR_000213
OG0000035	AAZ_000165	AAR_000220, AAR_000219
OG0000036	AAZ_000161	AAR_000215
