Orthogroup	t9_fai-gene-cluster-1	t8_fai-gene-cluster-1
OG0000000	AAZ_000154	AAE_000224, AAE_000223
OG0000000	AAZ_000153	AAE_000216
OG0000000	AAZ_000155	AAE_000217, AAE_000227, AAE_000226
OG0000001	AAZ_000141	AAE_000234
OG0000001	AAZ_000160	AAE_000198, AAE_000235, AAE_000199
OG0000002	AAZ_000143	AAE_000203
OG0000002	AAZ_000144	AAE_000204
OG0000002	AAZ_000145	AAE_000205
OG0000002	AAZ_000142	AAE_000201
OG0000003	AAZ_000152	AAE_000213
OG0000004	AAZ_000126	AAE_000183
OG0000005	AAZ_000156	AAE_000231, AAE_000229, AAE_000228
OG0000006	AAZ_000134	AAE_000192
OG0000006	AAZ_000133	AAE_000191
OG0000007	AAZ_000150	AAE_000211
OG0000007	AAZ_000151	AAE_000212
OG0000009	AAZ_000168	AAE_000243
OG0000010	AAZ_000130	AAE_000186
OG0000010	AAZ_000128	AAE_000184
OG0000011	AAZ_000131	AAE_000187
OG0000012	AAZ_000177	AAE_000257
OG0000013	AAZ_000136	AAE_000194
OG0000013	AAZ_000135	AAE_000193
OG0000014	AAZ_000174	AAE_000251, AAE_000250
OG0000016	AAZ_000162	AAE_000237
OG0000017	AAZ_000169	AAE_000244, AAE_000245
OG0000018	AAZ_000132	AAE_000189
OG0000019	AAZ_000179	AAE_000258
OG0000020	AAZ_000138	AAE_000195
OG0000021	AAZ_000167, AAZ_000166	AAE_000242
OG0000022	AAZ_000124	AAE_000180
OG0000023	AAZ_000140	AAE_000197
OG0000023	AAZ_000139	AAE_000196
OG0000024	AAZ_000172	AAE_000247
OG0000025	AAZ_000173	AAE_000248
OG0000026	AAZ_000176	AAE_000255, AAE_000254
OG0000027	AAZ_000148	AAE_000206
OG0000028	AAZ_000170	AAE_000246
OG0000029	AAZ_000175	AAE_000253, AAE_000252
OG0000031	AAZ_000164	AAE_000238
OG0000032	AAZ_000180	AAE_000260
OG0000033	AAZ_000159	AAE_000233
OG0000035	AAZ_000165	AAE_000241, AAE_000240
OG0000036	AAZ_000161	AAE_000236
