Orthogroup	t14_fai-gene-cluster-1	Ref_Epa_from_V583_fai-gene-cluster-1
OG0000000	AAD_000206	AAB_000124
OG0000000	AAD_000211, AAD_000212	AAB_000125
OG0000001	AAD_000221	AAB_000129, AAB_000117
OG0000002	AAD_000195, AAD_000197, AAD_000196	AAB_000118
OG0000003	AAD_000203	AAB_000123
OG0000004	AAD_000175	AAB_000108
OG0000005	AAD_000216	AAB_000126
OG0000006	AAD_000185	AAB_000113
OG0000007	AAD_000202, AAD_000201	AAB_000122
OG0000008	AAD_000200	AAB_000121
OG0000009	AAD_000230	AAB_000135
OG0000010	AAD_000179, AAD_000180	AAB_000110
OG0000012	AAD_000240	AAB_000143
OG0000013	AAD_000186, AAD_000187	AAB_000114
OG0000014	AAD_000237, AAD_000236	AAB_000140
OG0000017	AAD_000231	AAB_000136
OG0000019	AAD_000241	AAB_000144
OG0000020	AAD_000188	AAB_000115
OG0000021	AAD_000229	AAB_000134
OG0000022	AAD_000173	AAB_000107
OG0000023	AAD_000189	AAB_000116
OG0000024	AAD_000233	AAB_000138
OG0000025	AAD_000235	AAB_000139
OG0000026	AAD_000239	AAB_000142
OG0000027	AAD_000198	AAB_000120
OG0000028	AAD_000232	AAB_000137
OG0000029	AAD_000238	AAB_000141
OG0000030	AAD_000177, AAD_000178	AAB_000109
OG0000031	AAD_000227	AAB_000132
OG0000032	AAD_000242	AAB_000145
OG0000033	AAD_000220	AAB_000128
OG0000034	AAD_000218, AAD_000219	AAB_000127
OG0000035	AAD_000228	AAB_000133
OG0000036	AAD_000223	AAB_000130
