Orthogroup	t14_fai-gene-cluster-1	t17_fai-gene-cluster-1
OG0000000	AAD_000206	AAO_000218
OG0000000	AAD_000210	AAO_000225
OG0000000	AAD_000211	AAO_000226
OG0000000	AAD_000212	AAO_000227
OG0000000	AAD_000214	AAO_000230
OG0000000	AAD_000213	AAO_000229
OG0000000	AAD_000207	AAO_000221
OG0000000	AAD_000208	AAO_000223
OG0000000	AAD_000209	AAO_000224
OG0000001	AAD_000190	AAO_000203
OG0000001	AAD_000222	AAO_000238
OG0000001	AAD_000191	AAO_000204
OG0000001	AAD_000221	AAO_000237
OG0000002	AAD_000193	AAO_000205
OG0000002	AAD_000194	AAO_000206
OG0000002	AAD_000195	AAO_000207
OG0000002	AAD_000197	AAO_000209
OG0000002	AAD_000196	AAO_000208
OG0000003	AAD_000203	AAO_000215
OG0000003	AAD_000204	AAO_000216
OG0000003	AAD_000205	AAO_000217
OG0000004	AAD_000174	AAO_000188
OG0000005	AAD_000215	AAO_000231
OG0000005	AAD_000217	AAO_000234
OG0000005	AAD_000216	AAO_000233
OG0000006	AAD_000185	AAO_000198
OG0000006	AAD_000184	AAO_000197
OG0000007	AAD_000202	AAO_000214
OG0000007	AAD_000201	AAO_000213
OG0000008	AAD_000199	AAO_000211
OG0000008	AAD_000200	AAO_000212
OG0000009	AAD_000230	AAO_000245
OG0000010	AAD_000179	AAO_000189
OG0000010	AAD_000180	AAO_000191
OG0000011	AAD_000182	AAO_000194
OG0000011	AAD_000181	AAO_000192
OG0000012	AAD_000240	AAO_000257
OG0000013	AAD_000186	AAO_000199
OG0000013	AAD_000187	AAO_000200
OG0000014	AAD_000237	AAO_000253
OG0000014	AAD_000236	AAO_000252
OG0000016	AAD_000225	AAO_000240
OG0000017	AAD_000231	AAO_000247
OG0000018	AAD_000183	AAO_000196
OG0000019	AAD_000241	AAO_000259
OG0000020	AAD_000188	AAO_000201
OG0000021	AAD_000229	AAO_000244
OG0000022	AAD_000173	AAO_000187
OG0000023	AAD_000189	AAO_000202
OG0000024	AAD_000233	AAO_000249
OG0000025	AAD_000234	AAO_000250
OG0000025	AAD_000235	AAO_000251
OG0000026	AAD_000239	AAO_000256
OG0000027	AAD_000198	AAO_000210
OG0000028	AAD_000232	AAO_000248
OG0000029	AAD_000238	AAO_000254, AAO_000255
OG0000031	AAD_000227	AAO_000242
OG0000031	AAD_000226	AAO_000241
OG0000032	AAD_000242	AAO_000260
OG0000033	AAD_000220	AAO_000236
OG0000034	AAD_000219	AAO_000235
OG0000035	AAD_000228	AAO_000243
OG0000036	AAD_000223	AAO_000239
OG0000041	AAD_000171	AAO_000185
