Orthogroup	t19_fai-gene-cluster-1	Ref_Epa_from_V583_fai-gene-cluster-1
OG0000000	AAR_000205	AAB_000125
OG0000000	AAR_000200	AAB_000124
OG0000001	AAR_000214, AAR_000186	AAB_000117, AAB_000129
OG0000002	AAR_000189, AAR_000190, AAR_000191	AAB_000118
OG0000003	AAR_000197	AAB_000123
OG0000004	AAR_000168	AAB_000108
OG0000005	AAR_000211, AAR_000209, AAR_000210	AAB_000126
OG0000006	AAR_000180	AAB_000113
OG0000007	AAR_000195, AAR_000196	AAB_000122
OG0000008	AAR_000193	AAB_000121
OG0000009	AAR_000222	AAB_000135
OG0000010	AAR_000173	AAB_000110
OG0000011	AAR_000174, AAR_000175	AAB_000111
OG0000012	AAR_000231	AAB_000143
OG0000013	AAR_000182	AAB_000114
OG0000014	AAR_000228, AAR_000227	AAB_000140
OG0000016	AAR_000216	AAB_000131
OG0000017	AAR_000223	AAB_000136
OG0000018	AAR_000177	AAB_000112
OG0000019	AAR_000232	AAB_000144
OG0000020	AAR_000183	AAB_000115
OG0000021	AAR_000221	AAB_000134
OG0000024	AAR_000225	AAB_000138
OG0000025	AAR_000226	AAB_000139
OG0000026	AAR_000230	AAB_000142
OG0000027	AAR_000192	AAB_000120
OG0000028	AAR_000224	AAB_000137
OG0000029	AAR_000229	AAB_000141
OG0000030	AAR_000170	AAB_000109
OG0000032	AAR_000233	AAB_000145
OG0000033	AAR_000213	AAB_000128
OG0000034	AAR_000212	AAB_000127
OG0000035	AAR_000220, AAR_000219	AAB_000133
OG0000036	AAR_000215	AAB_000130
