Orthogroup	t17_fai-gene-cluster-1	t18_fai-gene-cluster-1
OG0000000	AAO_000227, AAO_000226	AAY_000158
OG0000000	AAO_000218	AAY_000157
OG0000000	AAO_000230, AAO_000229	AAY_000159
OG0000001	AAO_000237	AAY_000141
OG0000002	AAO_000207	AAY_000143
OG0000002	AAO_000209	AAY_000144
OG0000002	AAO_000205	AAY_000142
OG0000003	AAO_000215	AAY_000154
OG0000003	AAO_000217	AAY_000156
OG0000004	AAO_000188	AAY_000128
OG0000005	AAO_000234, AAO_000232, AAO_000231, AAO_000233	AAY_000160
OG0000006	AAO_000198	AAY_000135
OG0000007	AAO_000213	AAY_000151
OG0000007	AAO_000214	AAY_000152, AAY_000153
OG0000008	AAO_000211	AAY_000148
OG0000008	AAO_000212	AAY_000149
OG0000009	AAO_000245	AAY_000171
OG0000010	AAO_000191	AAY_000132
OG0000010	AAO_000189	AAY_000131
OG0000011	AAO_000192, AAO_000193	AAY_000133
OG0000012	AAO_000257, AAO_000258	AAY_000179
OG0000013	AAO_000200	AAY_000137
OG0000013	AAO_000199	AAY_000136
OG0000014	AAO_000253, AAO_000252	AAY_000176
OG0000016	AAO_000240	AAY_000165
OG0000017	AAO_000246, AAO_000247	AAY_000172
OG0000018	AAO_000195	AAY_000134
OG0000019	AAO_000259	AAY_000180
OG0000021	AAO_000244	AAY_000168
OG0000022	AAO_000186	AAY_000125
OG0000023	AAO_000202	AAY_000139
OG0000024	AAO_000249	AAY_000174
OG0000025	AAO_000250	AAY_000175
OG0000026	AAO_000256	AAY_000178
OG0000027	AAO_000210	AAY_000147
OG0000028	AAO_000248	AAY_000173
OG0000029	AAO_000255, AAO_000254	AAY_000177
OG0000031	AAO_000241	AAY_000166
OG0000032	AAO_000260	AAY_000181
OG0000033	AAO_000236	AAY_000162
OG0000034	AAO_000235	AAY_000161
OG0000035	AAO_000243	AAY_000167
OG0000036	AAO_000239	AAY_000164
