Orthogroup	Ref_Epa_from_V583_fai-gene-cluster-1	t19_fai-gene-cluster-1
OG0000000	AAB_000125	AAR_000205
OG0000000	AAB_000124	AAR_000200
OG0000001	AAB_000117, AAB_000129	AAR_000214, AAR_000186
OG0000002	AAB_000118	AAR_000189, AAR_000190, AAR_000191
OG0000003	AAB_000123	AAR_000197
OG0000004	AAB_000108	AAR_000168
OG0000005	AAB_000126	AAR_000211, AAR_000209, AAR_000210
OG0000006	AAB_000113	AAR_000180
OG0000007	AAB_000122	AAR_000195, AAR_000196
OG0000008	AAB_000121	AAR_000193
OG0000009	AAB_000135	AAR_000222
OG0000010	AAB_000110	AAR_000173
OG0000011	AAB_000111	AAR_000174, AAR_000175
OG0000012	AAB_000143	AAR_000231
OG0000013	AAB_000114	AAR_000182
OG0000014	AAB_000140	AAR_000228, AAR_000227
OG0000016	AAB_000131	AAR_000216
OG0000017	AAB_000136	AAR_000223
OG0000018	AAB_000112	AAR_000177
OG0000019	AAB_000144	AAR_000232
OG0000020	AAB_000115	AAR_000183
OG0000021	AAB_000134	AAR_000221
OG0000024	AAB_000138	AAR_000225
OG0000025	AAB_000139	AAR_000226
OG0000026	AAB_000142	AAR_000230
OG0000027	AAB_000120	AAR_000192
OG0000028	AAB_000137	AAR_000224
OG0000029	AAB_000141	AAR_000229
OG0000030	AAB_000109	AAR_000170
OG0000032	AAB_000145	AAR_000233
OG0000033	AAB_000128	AAR_000213
OG0000034	AAB_000127	AAR_000212
OG0000035	AAB_000133	AAR_000220, AAR_000219
OG0000036	AAB_000130	AAR_000215
