Orthogroup	Ref_Epa_from_V583_fai-gene-cluster-1	t9_fai-gene-cluster-1
OG0000000	AAB_000125	AAZ_000154
OG0000000	AAB_000124	AAZ_000153
OG0000001	AAB_000117, AAB_000129	AAZ_000141
OG0000002	AAB_000118	AAZ_000143, AAZ_000144, AAZ_000145
OG0000003	AAB_000123	AAZ_000152
OG0000004	AAB_000108	AAZ_000126
OG0000005	AAB_000126	AAZ_000156, AAZ_000157
OG0000006	AAB_000113	AAZ_000134
OG0000007	AAB_000122	AAZ_000150, AAZ_000151
OG0000009	AAB_000135	AAZ_000168
OG0000010	AAB_000110	AAZ_000129, AAZ_000130
OG0000011	AAB_000111	AAZ_000131
OG0000012	AAB_000143	AAZ_000177
OG0000013	AAB_000114	AAZ_000136
OG0000014	AAB_000140	AAZ_000174
OG0000015	AAB_000119	AAZ_000147
OG0000017	AAB_000136	AAZ_000169
OG0000018	AAB_000112	AAZ_000132
OG0000019	AAB_000144	AAZ_000178, AAZ_000179
OG0000020	AAB_000115	AAZ_000137
OG0000021	AAB_000134	AAZ_000166
OG0000022	AAB_000107	AAZ_000125, AAZ_000124
OG0000023	AAB_000116	AAZ_000140
OG0000024	AAB_000138	AAZ_000171, AAZ_000172
OG0000025	AAB_000139	AAZ_000173
OG0000026	AAB_000142	AAZ_000176
OG0000027	AAB_000120	AAZ_000148
OG0000028	AAB_000137	AAZ_000170
OG0000029	AAB_000141	AAZ_000175
OG0000030	AAB_000109	AAZ_000127
OG0000031	AAB_000132	AAZ_000163
OG0000032	AAB_000145	AAZ_000180
OG0000033	AAB_000128	AAZ_000159
OG0000034	AAB_000127	AAZ_000158
OG0000035	AAB_000133	AAZ_000165
OG0000036	AAB_000130	AAZ_000161
