Orthogroup	Ref_Epa_from_V583_fai-gene-cluster-1	t27_fai-gene-cluster-1
OG0000000	AAB_000125	AAP_000191
OG0000000	AAB_000124	AAP_000187, AAP_000188
OG0000001	AAB_000117, AAB_000129	AAP_000197
OG0000002	AAB_000118	AAP_000177
OG0000003	AAB_000123	AAP_000183
OG0000004	AAB_000108	AAP_000159, AAP_000160, AAP_000158
OG0000005	AAB_000126	AAP_000193, AAP_000194
OG0000006	AAB_000113	AAP_000170
OG0000007	AAB_000122	AAP_000181, AAP_000182
OG0000009	AAB_000135	AAP_000203
OG0000010	AAB_000110	AAP_000163
OG0000011	AAB_000111	AAP_000164, AAP_000165
OG0000012	AAB_000143	AAP_000213, AAP_000214
OG0000013	AAB_000114	AAP_000172
OG0000014	AAB_000140	AAP_000210, AAP_000209
OG0000015	AAB_000119	AAP_000178
OG0000017	AAB_000136	AAP_000204
OG0000019	AAB_000144	AAP_000215
OG0000020	AAB_000115	AAP_000173
OG0000023	AAB_000116	AAP_000174
OG0000024	AAB_000138	AAP_000207
OG0000025	AAB_000139	AAP_000208
OG0000026	AAB_000142	AAP_000212
OG0000027	AAB_000120	AAP_000180, AAP_000179
OG0000028	AAB_000137	AAP_000206, AAP_000205
OG0000029	AAB_000141	AAP_000211
OG0000032	AAB_000145	AAP_000216
OG0000033	AAB_000128	AAP_000196
OG0000034	AAB_000127	AAP_000195
