Orthogroup	Ref_Epa_from_V583_fai-gene-cluster-1	t30_fai-gene-cluster-1
OG0000000	AAB_000125	AAL_000157
OG0000000	AAB_000124	AAL_000156
OG0000001	AAB_000117, AAB_000129	AAL_000144
OG0000003	AAB_000123	AAL_000154
OG0000004	AAB_000108	AAL_000130, AAL_000129
OG0000005	AAB_000126	AAL_000158, AAL_000159, AAL_000160
OG0000006	AAB_000113	AAL_000139
OG0000007	AAB_000122	AAL_000151, AAL_000152, AAL_000153
OG0000008	AAB_000121	AAL_000149
OG0000009	AAB_000135	AAL_000172, AAL_000173
OG0000010	AAB_000110	AAL_000135
OG0000011	AAB_000111	AAL_000136
OG0000012	AAB_000143	AAL_000182, AAL_000183
OG0000013	AAB_000114	AAL_000141
OG0000014	AAB_000140	AAL_000179
OG0000015	AAB_000119	AAL_000147
OG0000016	AAB_000131	AAL_000165
OG0000017	AAB_000136	AAL_000174
OG0000018	AAB_000112	AAL_000137
OG0000019	AAB_000144	AAL_000184
OG0000020	AAB_000115	AAL_000142
OG0000021	AAB_000134	AAL_000171
OG0000022	AAB_000107	AAL_000128
OG0000023	AAB_000116	AAL_000143
OG0000024	AAB_000138	AAL_000176, AAL_000177
OG0000025	AAB_000139	AAL_000178
OG0000026	AAB_000142	AAL_000181
OG0000027	AAB_000120	AAL_000148
OG0000028	AAB_000137	AAL_000175
OG0000029	AAB_000141	AAL_000180
OG0000030	AAB_000109	AAL_000132, AAL_000133
OG0000031	AAB_000132	AAL_000168
OG0000032	AAB_000145	AAL_000185
OG0000033	AAB_000128	AAL_000162
OG0000034	AAB_000127	AAL_000161
OG0000035	AAB_000133	AAL_000170
OG0000036	AAB_000130	AAL_000164
