Orthogroup	Ref_Epa_from_V583_fai-gene-cluster-1	t11_fai-gene-cluster-1
OG0000000	AAB_000125	AAV_000163
OG0000000	AAB_000124	AAV_000162
OG0000001	AAB_000117, AAB_000129	AAV_000149
OG0000002	AAB_000118	AAV_000151
OG0000003	AAB_000123	AAV_000160
OG0000004	AAB_000108	AAV_000136, AAV_000135
OG0000005	AAB_000126	AAV_000164, AAV_000165
OG0000007	AAB_000122	AAV_000157, AAV_000158, AAV_000159
OG0000008	AAB_000121	AAV_000155
OG0000009	AAB_000135	AAV_000177, AAV_000178
OG0000010	AAB_000110	AAV_000141
OG0000011	AAB_000111	AAV_000142
OG0000012	AAB_000143	AAV_000187
OG0000013	AAB_000114	AAV_000146
OG0000014	AAB_000140	AAV_000184
OG0000015	AAB_000119	AAV_000153
OG0000016	AAB_000131	AAV_000170
OG0000017	AAB_000136	AAV_000179, AAV_000180, AAV_000181
OG0000018	AAB_000112	AAV_000143
OG0000019	AAB_000144	AAV_000188
OG0000020	AAB_000115	AAV_000147
OG0000021	AAB_000134	AAV_000176
OG0000022	AAB_000107	AAV_000133
OG0000023	AAB_000116	AAV_000148
OG0000025	AAB_000139	AAV_000183
OG0000026	AAB_000142	AAV_000186
OG0000027	AAB_000120	AAV_000154
OG0000028	AAB_000137	AAV_000182
OG0000029	AAB_000141	AAV_000185
OG0000030	AAB_000109	AAV_000138, AAV_000139
OG0000031	AAB_000132	AAV_000173
OG0000032	AAB_000145	AAV_000189
OG0000033	AAB_000128	AAV_000167
OG0000034	AAB_000127	AAV_000166
OG0000035	AAB_000133	AAV_000175
OG0000036	AAB_000130	AAV_000169
