Orthogroup	Ref_Epa_from_V583_fai-gene-cluster-1	t22_fai-gene-cluster-1
OG0000000	AAB_000125	AAU_000195
OG0000000	AAB_000124	AAU_000193
OG0000001	AAB_000117, AAB_000129	AAU_000199
OG0000002	AAB_000118	AAU_000177, AAU_000178
OG0000003	AAB_000123	AAU_000190
OG0000004	AAB_000108	AAU_000159
OG0000005	AAB_000126	AAU_000196, AAU_000197
OG0000006	AAB_000113	AAU_000169
OG0000007	AAB_000122	AAU_000188, AAU_000189
OG0000008	AAB_000121	AAU_000185, AAU_000186, AAU_000187
OG0000009	AAB_000135	AAU_000205, AAU_000206
OG0000010	AAB_000110	AAU_000163
OG0000011	AAB_000111	AAU_000164
OG0000012	AAB_000143	AAU_000216
OG0000013	AAB_000114	AAU_000170
OG0000014	AAB_000140	AAU_000213, AAU_000212
OG0000015	AAB_000119	AAU_000181, AAU_000182
OG0000016	AAB_000131	AAU_000200
OG0000017	AAB_000136	AAU_000207, AAU_000208
OG0000018	AAB_000112	AAU_000166
OG0000019	AAB_000144	AAU_000217, AAU_000218
OG0000021	AAB_000134	AAU_000203
OG0000024	AAB_000138	AAU_000210
OG0000025	AAB_000139	AAU_000211
OG0000026	AAB_000142	AAU_000215
OG0000027	AAB_000120	AAU_000183
OG0000028	AAB_000137	AAU_000209
OG0000029	AAB_000141	AAU_000214
OG0000030	AAB_000109	AAU_000161
OG0000031	AAB_000132	AAU_000201
OG0000032	AAB_000145	AAU_000219
OG0000033	AAB_000128	AAU_000198
OG0000035	AAB_000133	AAU_000202
