Orthogroup	Ref_Epa_from_V583_fai-gene-cluster-1	t21_fai-gene-cluster-1
OG0000000	AAB_000125	AAS_000186
OG0000000	AAB_000124	AAS_000184
OG0000001	AAB_000117, AAB_000129	AAS_000193
OG0000002	AAB_000118	AAS_000169, AAS_000170, AAS_000172
OG0000003	AAB_000123	AAS_000181
OG0000004	AAB_000108	AAS_000151, AAS_000150
OG0000005	AAB_000126	AAS_000189, AAS_000190
OG0000006	AAB_000113	AAS_000160
OG0000007	AAB_000122	AAS_000180
OG0000008	AAB_000121	AAS_000177, AAS_000178, AAS_000179
OG0000009	AAB_000135	AAS_000198, AAS_000199
OG0000010	AAB_000110	AAS_000155
OG0000011	AAB_000111	AAS_000156
OG0000012	AAB_000143	AAS_000207
OG0000013	AAB_000114	AAS_000162
OG0000014	AAB_000140	AAS_000204, AAS_000203
OG0000015	AAB_000119	AAS_000173
OG0000016	AAB_000131	AAS_000195
OG0000017	AAB_000136	AAS_000200
OG0000018	AAB_000112	AAS_000158
OG0000019	AAB_000144	AAS_000208
OG0000020	AAB_000115	AAS_000163
OG0000023	AAB_000116	AAS_000164
OG0000024	AAB_000138	AAS_000201
OG0000025	AAB_000139	AAS_000202
OG0000026	AAB_000142	AAS_000206
OG0000027	AAB_000120	AAS_000175, AAS_000174
OG0000029	AAB_000141	AAS_000205
OG0000030	AAB_000109	AAS_000154, AAS_000153
OG0000032	AAB_000145	AAS_000209
OG0000033	AAB_000128	AAS_000192
OG0000034	AAB_000127	AAS_000191
