Orthogroup	t10_fai-gene-cluster-1	t16_fai-gene-cluster-1
OG0000000	ABB_000170	ABA_000190
OG0000000	ABB_000171	ABA_000191
OG0000000	ABB_000175	ABA_000195
OG0000000	ABB_000172	ABA_000192
OG0000001	ABB_000159	ABA_000172, ABA_000174, ABA_000200
OG0000001	ABB_000180	ABA_000173
OG0000001	ABB_000158	ABA_000199
OG0000003	ABB_000169	ABA_000186, ABA_000187, ABA_000188, ABA_000189
OG0000004	ABB_000143	ABA_000158, ABA_000159, ABA_000157
OG0000004	ABB_000144	ABA_000160
OG0000005	ABB_000176	ABA_000196
OG0000005	ABB_000177	ABA_000197
OG0000006	ABB_000153	ABA_000167
OG0000007	ABB_000167	ABA_000184
OG0000008	ABB_000166	ABA_000183
OG0000009	ABB_000185	ABA_000204
OG0000009	ABB_000186	ABA_000205
OG0000010	ABB_000149, ABB_000148	ABA_000161
OG0000011	ABB_000150	ABA_000164
OG0000012	ABB_000201	ABA_000217
OG0000012	ABB_000199, ABB_000200	ABA_000216
OG0000013	ABB_000154	ABA_000168
OG0000013	ABB_000155	ABA_000169
OG0000014	ABB_000195	ABA_000213
OG0000014	ABB_000194	ABA_000212
OG0000015	ABB_000164	ABA_000179
OG0000017	ABB_000189	ABA_000207
OG0000018	ABB_000152	ABA_000166
OG0000018	ABB_000151	ABA_000165
OG0000019	ABB_000202	ABA_000219
OG0000020	ABB_000156	ABA_000170
OG0000023	ABB_000157	ABA_000171
OG0000024	ABB_000192	ABA_000210
OG0000025	ABB_000193	ABA_000211
OG0000026	ABB_000197	ABA_000215
OG0000027	ABB_000165	ABA_000181, ABA_000180
OG0000028	ABB_000190	ABA_000209, ABA_000208
OG0000032	ABB_000203	ABA_000221
OG0000033	ABB_000179	ABA_000198
