Orthogroup	t10_fai-gene-cluster-1	t5_fai-gene-cluster-1
OG0000000	ABB_000171	AAW_000187
OG0000000	ABB_000173, ABB_000174	AAW_000189
OG0000000	ABB_000172	AAW_000188
OG0000001	ABB_000159	AAW_000168, AAW_000170
OG0000001	ABB_000180	AAW_000169
OG0000001	ABB_000158	AAW_000194
OG0000002	ABB_000160	AAW_000171
OG0000003	ABB_000169	AAW_000183, AAW_000184, AAW_000185
OG0000004	ABB_000143	AAW_000156, AAW_000158, AAW_000157
OG0000004	ABB_000144	AAW_000159
OG0000005	ABB_000176	AAW_000190
OG0000006	ABB_000153	AAW_000163
OG0000007	ABB_000167	AAW_000182
OG0000008	ABB_000166	AAW_000180, AAW_000181
OG0000009	ABB_000185	AAW_000201
OG0000009	ABB_000186	AAW_000202
OG0000011	ABB_000150	AAW_000160
OG0000012	ABB_000201	AAW_000213
OG0000012	ABB_000199, ABB_000200	AAW_000212
OG0000013	ABB_000154, ABB_000155	AAW_000164
OG0000014	ABB_000195	AAW_000208
OG0000014	ABB_000194	AAW_000207
OG0000015	ABB_000163	AAW_000176
OG0000015	ABB_000164	AAW_000177
OG0000017	ABB_000187, ABB_000188, ABB_000189	AAW_000203
OG0000018	ABB_000151	AAW_000161
OG0000019	ABB_000202	AAW_000215
OG0000020	ABB_000156	AAW_000165, AAW_000166
OG0000021	ABB_000184	AAW_000199
OG0000023	ABB_000157	AAW_000167
OG0000024	ABB_000192	AAW_000205
OG0000025	ABB_000193	AAW_000206
OG0000026	ABB_000198	AAW_000211
OG0000026	ABB_000197	AAW_000210
OG0000027	ABB_000165	AAW_000178
OG0000028	ABB_000190	AAW_000204
OG0000029	ABB_000196	AAW_000209
OG0000031	ABB_000181	AAW_000196
OG0000032	ABB_000203	AAW_000216
OG0000033	ABB_000179	AAW_000193
OG0000034	ABB_000178	AAW_000192
