Orthogroup	t4_fai-gene-cluster-1	t17_fai-gene-cluster-1
OG0000000	ABD_000225	AAO_000227, AAO_000226
OG0000000	ABD_000217	AAO_000218
OG0000000	ABD_000219	AAO_000223
OG0000000	ABD_000220	AAO_000228, AAO_000219, AAO_000230, AAO_000229
OG0000001	ABD_000230	AAO_000237
OG0000001	ABD_000196	AAO_000203
OG0000001	ABD_000199	AAO_000238
OG0000001	ABD_000197	AAO_000204
OG0000002	ABD_000202	AAO_000209
OG0000002	ABD_000200	AAO_000205
OG0000003	ABD_000216	AAO_000217
OG0000004	ABD_000181	AAO_000188
OG0000005	ABD_000227	AAO_000232
OG0000005	ABD_000226	AAO_000231
OG0000005	ABD_000228	AAO_000233
OG0000006	ABD_000188, ABD_000189	AAO_000198
OG0000006	ABD_000187	AAO_000197
OG0000007	ABD_000212	AAO_000213
OG0000007	ABD_000213, ABD_000211, ABD_000214	AAO_000214
OG0000008	ABD_000208	AAO_000211
OG0000009	ABD_000241	AAO_000245
OG0000010	ABD_000182	AAO_000189
OG0000011	ABD_000184	AAO_000194
OG0000012	ABD_000251	AAO_000257
OG0000012	ABD_000253	AAO_000258
OG0000013	ABD_000190	AAO_000200
OG0000014	ABD_000248	AAO_000253
OG0000014	ABD_000247	AAO_000252
OG0000016	ABD_000235	AAO_000240
OG0000017	ABD_000242	AAO_000246
OG0000017	ABD_000243	AAO_000247
OG0000018	ABD_000185	AAO_000195
OG0000018	ABD_000186	AAO_000196
OG0000019	ABD_000254	AAO_000259
OG0000020	ABD_000192, ABD_000193	AAO_000201
OG0000021	ABD_000239, ABD_000238	AAO_000244
OG0000022	ABD_000177	AAO_000187
OG0000022	ABD_000176	AAO_000186
OG0000023	ABD_000194	AAO_000202
OG0000024	ABD_000245	AAO_000249
OG0000025	ABD_000246	AAO_000251
OG0000026	ABD_000250	AAO_000256
OG0000027	ABD_000207	AAO_000210
OG0000028	ABD_000244	AAO_000248
OG0000029	ABD_000249	AAO_000255
OG0000032	ABD_000256, ABD_000255	AAO_000260
OG0000033	ABD_000229	AAO_000236
OG0000035	ABD_000237	AAO_000243
OG0000036	ABD_000232	AAO_000239
OG0000040	ABD_000183	AAO_000190
