DATASET_HEATMAP
SEPARATOR TAB
COLOR	#000000
DATASET_LABEL	epa
FIELD_LABELS	EF2200	EF2199	EF2198|epaA	EF2197|epaB	EF2196|epaC	EF2195|epaD	EF2194|epaE	EF2193|epaF	EF2192|epaG	EF2191|epaH	EF2190|epaI	EF2189|epaJ	EF2188	EF2187	EF2186	EF2184|epaK	EF2183|epaL	EF2182|epaM	EF2181|epaN	EF2180|epaO	EF2179|epaP	EF2178|epaQ	EF2177|epaR	EF2176	EF2175	EF2174	EF2173|EF2185	EF2172	EF2171	EF2170|epaX	EF2169	EF2168	EF2167	EF2166	EF2165	EF2164
DATA
Enterococcus_sp017830045_GCA_017830045	90.9	66.7	79.6	73.1	46.5	60.1	94.4	89.5	89.8	80.7	0.0	0.0	0.0	0.0	0.0	0.0	43.2	43.1	0.0	55.2	31.0	0.0	0.0	0.0	0.0	49.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Enterococcus_C_mediterraneensis_GCA_900604485	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Enterococcus_A_gilvus_GCA_000407545	86.6	48.1	54.1	53.9	37.4	54.3	90.6	83.7	88.6	77.5	29.5	0.0	0.0	0.0	0.0	0.0	55.5	75.6	42.8	60.6	39.3	35.3	67.5	0.0	0.0	0.0	0.0	73.8	52.6	33.3	29.5	0.0	0.0	0.0	67.7	0.0
Enterococcus_A_dongliensis_GCA_005405225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Enterococcus_B_phoeniculicola_GCA_000394035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Enterococcus_A_avium_GCA_005347505	87.4	51.2	53.8	53.5	39.5	54.7	90.3	82.6	89.2	76.1	0.0	0.0	0.0	0.0	0.0	0.0	56.3	75.3	43.5	61.7	41.2	35.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Enterococcus_C_saigonensis_GCA_011397115	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Enterococcus_A_hermanniensis_GCA_001885945	85.8	49.8	58.5	55.0	38.1	54.3	91.7	81.6	90.6	77.5	0.0	0.0	0.0	0.0	0.0	0.0	56.3	75.5	42.8	60.6	41.3	34.5	67.3	0.0	59.6	0.0	0.0	79.0	55.9	67.8	30.4	58.0	60.1	74.2	69.0	0.0
Enterococcus_silesiacus_GCA_001465115	91.7	77.4	79.1	72.7	50.5	61.4	93.4	91.6	91.2	79.9	66.1	60.0	0.0	0.0	0.0	55.4	78.8	89.6	66.9	78.3	63.0	40.2	68.1	25.6	0.0	35.3	0.0	0.0	0.0	0.0	0.0	31.5	0.0	0.0	71.2	0.0
Enterococcus_A_raffinosus_GCA_019175485	85.8	48.5	53.5	55.0	37.3	54.3	90.6	83.2	90.4	77.5	28.2	0.0	0.0	0.0	0.0	0.0	56.6	75.8	43.1	61.0	40.4	32.3	67.3	0.0	0.0	0.0	0.0	74.2	53.7	32.6	28.3	0.0	0.0	0.0	69.2	0.0
