MSA_Position	Major_Allele_Frequency
1	1.0
2	1.0
3	1.0
4	0.6693811074918566
5	0.8420195439739414
6	0.6530944625407166
7	0.6685667752442996
8	0.9446254071661238
9	0.8957654723127035
10	0.9446254071661238
11	1.0
12	0.9429967426710097
13	1.0
14	1.0
15	1.0
16	0.9429967426710097
17	1.0
18	0.7711726384364821
19	0.9446254071661238
20	1.0
21	0.9446254071661238
22	0.9446254071661238
23	1.0
24	0.9446254071661238
25	1.0
26	1.0
27	0.8420195439739414
28	0.996742671009772
29	1.0
30	0.7214983713355049
31	1.0
32	1.0
33	0.6555374592833876
34	1.0
35	1.0
36	0.8973941368078175
37	1.0
38	1.0
39	0.8265472312703583
40	1.0
41	0.995928338762215
42	1.0
43	0.8973941368078175
44	0.8973941368078175
45	0.8265472312703583
46	1.0
47	1.0
48	1.0
49	0.9446254071661238
50	1.0
51	0.8281758957654723
52	0.7239413680781759
53	0.8973941368078175
54	1.0
55	1.0
56	1.0
57	1.0
58	1.0
59	1.0
60	0.9633550488599348
61	0.8591205211726385
62	1.0
63	0.7239413680781759
64	0.6685667752442996
65	0.6685667752442996
66	0.7100977198697068
67	1.0
68	1.0
69	0.6701954397394136
70	0.9446254071661238
71	1.0
72	0.7255700325732899
73	0.7728013029315961
74	1.0
75	0.7728013029315961
76	0.7711726384364821
77	0.9429967426710097
78	0.7239413680781759
79	1.0
80	1.0
81	1.0
82	1.0
83	1.0
84	0.6302931596091205
85	1.0
86	0.9429967426710097
87	1.0
88	0.9446254071661238
89	0.9429967426710097
90	0.9429967426710097
91	0.8420195439739414
92	1.0
93	0.6685667752442996
94	1.0
95	1.0
96	0.8770358306188925
97	1.0
98	1.0
99	0.998371335504886
100	0.8420195439739414
101	1.0
102	0.7809446254071661
103	0.8281758957654723
104	1.0
105	0.6669381107491856
106	0.6685667752442996
107	1.0
108	0.7157980456026058
109	0.998371335504886
110	1.0
111	0.6131921824104235
112	0.9405537459283387
113	1.0
114	0.6473941368078175
115	1.0
116	1.0
117	1.0
118	1.0
119	1.0
120	0.6685667752442996
121	1.0
122	1.0
123	0.9381107491856677
124	0.7711726384364821
125	0.994299674267101
126	0.8192182410423453
127	1.0
128	1.0
129	0.7296416938110749
130	0.8061889250814332
131	0.6685667752442996
132	0.8265472312703583
133	0.8973941368078175
134	0.8973941368078175
135	0.7980456026058632
136	0.9446254071661238
137	0.9446254071661238
138	0.8957654723127035
