x	y	xend	yend
1	0	3	1
7	0	9	1
10	0	12	1
13	0	15	1
25	0	27	1
28	0	30	1
31	0	33	1
37	0	39	1
58	0	60	1
67	0	69	1
70	0	72	1
73	0	75	1
82	0	84	1
94	0	96	1
97	0	99	1
100	0	102	1
103	0	105	1
106	0	108	1
109	0	111	1
112	0	114	1
118	0	120	1
121	0	123	1
124	0	126	1
127	0	129	1
133	0	135	1
142	0	144	1
148	0	150	1
163	0	165	1
172	0	174	1
184	0	186	1
187	0	189	1
190	0	192	1
193	0	195	1
199	0	201	1
202	0	204	1
205	0	207	1
211	0	213	1
214	0	216	1
217	0	219	1
220	0	222	1
226	0	228	1
232	0	234	1
238	0	240	1
244	0	246	1
253	0	255	1
256	0	258	1
259	0	261	1
262	0	264	1
265	0	267	1
268	0	270	1
274	0	276	1
277	0	279	1
280	0	282	1
283	0	285	1
298	0	300	1
301	0	303	1
304	0	306	1
307	0	309	1
313	0	315	1
331	0	333	1
334	0	336	1
340	0	342	1
361	0	363	1
364	0	366	1
370	0	372	1
376	0	378	1
418	0	420	1
421	0	423	1
433	0	435	1
436	0	438	1
439	0	441	1
454	0	456	1
457	0	459	1
466	0	468	1
472	0	474	1
475	0	477	1
478	0	480	1
481	0	483	1
487	0	489	1
490	0	492	1
493	0	495	1
496	0	498	1
499	0	501	1
505	0	507	1
508	0	510	1
517	0	519	1
520	0	522	1
523	0	525	1
526	0	528	1
532	0	534	1
535	0	537	1
541	0	543	1
547	0	549	1
550	0	552	1
556	0	558	1
559	0	561	1
568	0	570	1
571	0	573	1
580	0	582	1
586	0	588	1
589	0	591	1
592	0	594	1
595	0	597	1
601	0	603	1
604	0	606	1
613	0	615	1
616	0	618	1
619	0	621	1
625	0	627	1
628	0	630	1
634	0	636	1
637	0	639	1
640	0	642	1
643	0	645	1
646	0	648	1
658	0	660	1
664	0	666	1
679	0	681	1
685	0	687	1
688	0	690	1
691	0	693	1
694	0	696	1
700	0	702	1
724	0	726	1
736	0	738	1
742	0	744	1
751	0	753	1
754	0	756	1
757	0	759	1
763	0	765	1
769	0	771	1
772	0	774	1
775	0	777	1
778	0	780	1
784	0	786	1
787	0	789	1
790	0	792	1
820	0	822	1
823	0	825	1
829	0	831	1
832	0	834	1
838	0	840	1
841	0	843	1
853	0	855	1
859	0	861	1
862	0	864	1
868	0	870	1
871	0	873	1
874	0	876	1
880	0	882	1
883	0	885	1
889	0	891	1
892	0	894	1
895	0	897	1
901	0	903	1
904	0	906	1
910	0	912	1
913	0	915	1
916	0	918	1
922	0	924	1
925	0	927	1
928	0	930	1
931	0	933	1
934	0	936	1
955	0	957	1
961	0	963	1
964	0	966	1
970	0	972	1
1000	0	1002	1
1003	0	1005	1
1006	0	1008	1
1009	0	1011	1
