Orthogroup	t10_fai-gene-cluster-1	Ref_Epa_from_V583_fai-gene-cluster-1
OG0000000	ABB_000174	AAB_000125
OG0000000	ABB_000170, ABB_000171	AAB_000124
OG0000001	ABB_000158	AAB_000117, AAB_000129
OG0000002	ABB_000161, ABB_000162	AAB_000118
OG0000003	ABB_000169	AAB_000123
OG0000004	ABB_000143	AAB_000108
OG0000005	ABB_000176, ABB_000177	AAB_000126
OG0000006	ABB_000153	AAB_000113
OG0000007	ABB_000167, ABB_000168	AAB_000122
OG0000008	ABB_000166	AAB_000121
OG0000009	ABB_000185, ABB_000186	AAB_000135
OG0000010	ABB_000148, ABB_000149	AAB_000110
OG0000012	ABB_000199, ABB_000200, ABB_000201	AAB_000143
OG0000013	ABB_000155	AAB_000114
OG0000014	ABB_000195, ABB_000194	AAB_000140
OG0000015	ABB_000164	AAB_000119
OG0000017	ABB_000187, ABB_000188, ABB_000189	AAB_000136
OG0000018	ABB_000151	AAB_000112
OG0000019	ABB_000202	AAB_000144
OG0000020	ABB_000156	AAB_000115
OG0000021	ABB_000184	AAB_000134
OG0000024	ABB_000191, ABB_000192	AAB_000138
OG0000025	ABB_000193	AAB_000139
OG0000026	ABB_000198, ABB_000197	AAB_000142
OG0000027	ABB_000165	AAB_000120
OG0000028	ABB_000190	AAB_000137
OG0000029	ABB_000196	AAB_000141
OG0000030	ABB_000145, ABB_000146	AAB_000109
OG0000032	ABB_000203	AAB_000145
OG0000033	ABB_000179	AAB_000128
OG0000034	ABB_000178	AAB_000127
OG0000035	ABB_000183, ABB_000182	AAB_000133
