Orthogroup	t1_fai-gene-cluster-1	Ref_Epa_from_V583_fai-gene-cluster-1
OG0000000	AAI_000140	AAB_000124
OG0000000	AAI_000143	AAB_000125
OG0000001	AAI_000129, AAI_000148	AAB_000129, AAB_000117
OG0000002	AAI_000132	AAB_000118
OG0000003	AAI_000137	AAB_000123
OG0000004	AAI_000118	AAB_000108
OG0000005	AAI_000145	AAB_000126
OG0000006	AAI_000126	AAB_000113
OG0000007	AAI_000136	AAB_000122
OG0000008	AAI_000135	AAB_000121
OG0000009	AAI_000152, AAI_000153	AAB_000135
OG0000010	AAI_000121	AAB_000110
OG0000011	AAI_000122	AAB_000111
OG0000012	AAI_000163	AAB_000143
OG0000013	AAI_000127	AAB_000114
OG0000014	AAI_000160	AAB_000140
OG0000015	AAI_000133	AAB_000119
OG0000016	AAI_000150	AAB_000131
OG0000017	AAI_000154	AAB_000136
OG0000018	AAI_000124	AAB_000112
OG0000019	AAI_000164	AAB_000144
OG0000020	AAI_000128	AAB_000115
OG0000022	AAI_000117	AAB_000107
OG0000024	AAI_000157	AAB_000138
OG0000025	AAI_000159	AAB_000139
OG0000026	AAI_000162	AAB_000142
OG0000027	AAI_000134	AAB_000120
OG0000028	AAI_000156, AAI_000155	AAB_000137
OG0000029	AAI_000161	AAB_000141
OG0000030	AAI_000120	AAB_000109
OG0000032	AAI_000165	AAB_000145
OG0000033	AAI_000147	AAB_000128
OG0000034	AAI_000146	AAB_000127
OG0000036	AAI_000149	AAB_000130
