Orthogroup	t7_fai-gene-cluster-1	t5_fai-gene-cluster-1
OG0000001	AAC_000167	AAW_000194
OG0000001	AAC_000147	AAW_000168
OG0000001	AAC_000148	AAW_000169
OG0000002	AAC_000150	AAW_000173
OG0000002	AAC_000149	AAW_000171
OG0000003	AAC_000157	AAW_000183
OG0000003	AAC_000159	AAW_000185
OG0000004	AAC_000134	AAW_000159
OG0000004	AAC_000133	AAW_000156, AAW_000158, AAW_000157
OG0000005	AAC_000164	AAW_000190, AAW_000191
OG0000006	AAC_000143	AAW_000163
OG0000006	AAC_000142	AAW_000162
OG0000007	AAC_000156	AAW_000182
OG0000008	AAC_000155	AAW_000180, AAW_000181
OG0000009	AAC_000172	AAW_000201
OG0000009	AAC_000173	AAW_000202
OG0000011	AAC_000139	AAW_000160
OG0000012	AAC_000181	AAW_000212
OG0000012	AAC_000182	AAW_000213
OG0000013	AAC_000144	AAW_000164
OG0000014	AAC_000178	AAW_000208, AAW_000207
OG0000015	AAC_000153	AAW_000177
OG0000015	AAC_000152	AAW_000176
OG0000016	AAC_000170	AAW_000195
OG0000017	AAC_000174	AAW_000203
OG0000018	AAC_000140	AAW_000161
OG0000019	AAC_000183	AAW_000214, AAW_000215
OG0000020	AAC_000145	AAW_000165, AAW_000166
OG0000021	AAC_000171	AAW_000200, AAW_000199
OG0000022	AAC_000132	AAW_000155, AAW_000154
OG0000023	AAC_000146	AAW_000167
OG0000024	AAC_000176	AAW_000205
OG0000025	AAC_000177	AAW_000206
OG0000026	AAC_000180	AAW_000211, AAW_000210
OG0000027	AAC_000154	AAW_000178
OG0000028	AAC_000175	AAW_000204
OG0000029	AAC_000179	AAW_000209
OG0000032	AAC_000184	AAW_000216
OG0000033	AAC_000166	AAW_000193
