Orthogroup	Ref_Epa_from_V583_fai-gene-cluster-1	t20_fai-gene-cluster-1
OG0000000	AAB_000125	AAN_000143
OG0000000	AAB_000124	AAN_000141
OG0000001	AAB_000117, AAB_000129	AAN_000148
OG0000002	AAB_000118	AAN_000135
OG0000003	AAB_000123	AAN_000140
OG0000004	AAB_000108	AAN_000122
OG0000005	AAB_000126	AAN_000146
OG0000006	AAB_000113	AAN_000130
OG0000007	AAB_000122	AAN_000139
OG0000008	AAB_000121	AAN_000138
OG0000009	AAB_000135	AAN_000153, AAN_000154
OG0000010	AAB_000110	AAN_000124
OG0000011	AAB_000111	AAN_000125, AAN_000126
OG0000012	AAB_000143	AAN_000162
OG0000014	AAB_000140	AAN_000159
OG0000015	AAB_000119	AAN_000136
OG0000016	AAB_000131	AAN_000150
OG0000017	AAB_000136	AAN_000155
OG0000018	AAB_000112	AAN_000128
OG0000019	AAB_000144	AAN_000163
OG0000020	AAB_000115	AAN_000132
OG0000021	AAB_000134	AAN_000152
OG0000022	AAB_000107	AAN_000121
OG0000023	AAB_000116	AAN_000133
OG0000024	AAB_000138	AAN_000157
OG0000025	AAB_000139	AAN_000158
OG0000026	AAB_000142	AAN_000161
OG0000027	AAB_000120	AAN_000137
OG0000028	AAB_000137	AAN_000156
OG0000029	AAB_000141	AAN_000160
OG0000030	AAB_000109	AAN_000123
OG0000032	AAB_000145	AAN_000164
OG0000033	AAB_000128	AAN_000147
OG0000036	AAB_000130	AAN_000149
