Orthogroup	Ref_Epa_from_V583_fai-gene-cluster-1	t5_fai-gene-cluster-1
OG0000000	AAB_000125	AAW_000189
OG0000000	AAB_000124	AAW_000187
OG0000001	AAB_000117, AAB_000129	AAW_000194
OG0000002	AAB_000118	AAW_000173, AAW_000174
OG0000003	AAB_000123	AAW_000183
OG0000004	AAB_000108	AAW_000156, AAW_000158, AAW_000157
OG0000005	AAB_000126	AAW_000190, AAW_000191
OG0000006	AAB_000113	AAW_000163
OG0000007	AAB_000122	AAW_000182
OG0000008	AAB_000121	AAW_000180, AAW_000181
OG0000009	AAB_000135	AAW_000201, AAW_000202
OG0000012	AAB_000143	AAW_000212, AAW_000213
OG0000013	AAB_000114	AAW_000164
OG0000014	AAB_000140	AAW_000208, AAW_000207
OG0000015	AAB_000119	AAW_000177
OG0000017	AAB_000136	AAW_000203
OG0000018	AAB_000112	AAW_000161
OG0000019	AAB_000144	AAW_000214, AAW_000215
OG0000020	AAB_000115	AAW_000165
OG0000021	AAB_000134	AAW_000199
OG0000022	AAB_000107	AAW_000154
OG0000024	AAB_000138	AAW_000205
OG0000025	AAB_000139	AAW_000206
OG0000026	AAB_000142	AAW_000211, AAW_000210
OG0000027	AAB_000120	AAW_000178
OG0000028	AAB_000137	AAW_000204
OG0000029	AAB_000141	AAW_000209
OG0000032	AAB_000145	AAW_000216
OG0000033	AAB_000128	AAW_000193
OG0000034	AAB_000127	AAW_000192
