Orthogroup	Ref_Epa_from_V583_fai-gene-cluster-1	t17_fai-gene-cluster-1
OG0000000	AAB_000125	AAO_000227, AAO_000226
OG0000000	AAB_000124	AAO_000218
OG0000001	AAB_000117, AAB_000129	AAO_000237
OG0000002	AAB_000118	AAO_000207, AAO_000208, AAO_000209
OG0000003	AAB_000123	AAO_000215
OG0000005	AAB_000126	AAO_000234, AAO_000232, AAO_000231, AAO_000233
OG0000006	AAB_000113	AAO_000198
OG0000007	AAB_000122	AAO_000213, AAO_000214
OG0000008	AAB_000121	AAO_000211
OG0000009	AAB_000135	AAO_000245
OG0000010	AAB_000110	AAO_000191
OG0000011	AAB_000111	AAO_000192, AAO_000193
OG0000012	AAB_000143	AAO_000257, AAO_000258
OG0000013	AAB_000114	AAO_000200
OG0000014	AAB_000140	AAO_000253, AAO_000252
OG0000017	AAB_000136	AAO_000246, AAO_000247
OG0000018	AAB_000112	AAO_000195
OG0000019	AAB_000144	AAO_000259
OG0000021	AAB_000134	AAO_000244
OG0000022	AAB_000107	AAO_000186
OG0000024	AAB_000138	AAO_000249
OG0000025	AAB_000139	AAO_000250, AAO_000251
OG0000026	AAB_000142	AAO_000256
OG0000027	AAB_000120	AAO_000210
OG0000028	AAB_000137	AAO_000248
OG0000029	AAB_000141	AAO_000255, AAO_000254
OG0000032	AAB_000145	AAO_000260
OG0000033	AAB_000128	AAO_000236
OG0000034	AAB_000127	AAO_000235
OG0000035	AAB_000133	AAO_000243
OG0000036	AAB_000130	AAO_000239
