Orthogroup	Ref_Epa_from_V583_fai-gene-cluster-1	t1_fai-gene-cluster-1
OG0000000	AAB_000125	AAI_000143
OG0000000	AAB_000124	AAI_000140
OG0000001	AAB_000117, AAB_000129	AAI_000148, AAI_000129
OG0000002	AAB_000118	AAI_000132
OG0000003	AAB_000123	AAI_000137
OG0000004	AAB_000108	AAI_000118
OG0000005	AAB_000126	AAI_000145
OG0000006	AAB_000113	AAI_000126
OG0000007	AAB_000122	AAI_000136
OG0000008	AAB_000121	AAI_000135
OG0000009	AAB_000135	AAI_000152, AAI_000153
OG0000010	AAB_000110	AAI_000121
OG0000011	AAB_000111	AAI_000122
OG0000012	AAB_000143	AAI_000163
OG0000013	AAB_000114	AAI_000127
OG0000014	AAB_000140	AAI_000160
OG0000015	AAB_000119	AAI_000133
OG0000016	AAB_000131	AAI_000150
OG0000017	AAB_000136	AAI_000154
OG0000018	AAB_000112	AAI_000124
OG0000019	AAB_000144	AAI_000164
OG0000020	AAB_000115	AAI_000128
OG0000021	AAB_000134	AAI_000151
OG0000022	AAB_000107	AAI_000117
OG0000024	AAB_000138	AAI_000157
OG0000025	AAB_000139	AAI_000158, AAI_000159
OG0000026	AAB_000142	AAI_000162
OG0000027	AAB_000120	AAI_000134
OG0000028	AAB_000137	AAI_000156, AAI_000155
OG0000029	AAB_000141	AAI_000161
OG0000030	AAB_000109	AAI_000119, AAI_000120
OG0000032	AAB_000145	AAI_000165
OG0000033	AAB_000128	AAI_000147
OG0000034	AAB_000127	AAI_000146
OG0000036	AAB_000130	AAI_000149
