Orthogroup	Ref_Epa_from_V583_fai-gene-cluster-1	t14_fai-gene-cluster-1
OG0000000	AAB_000125	AAD_000212, AAD_000211
OG0000000	AAB_000124	AAD_000206
OG0000001	AAB_000117, AAB_000129	AAD_000221
OG0000002	AAB_000118	AAD_000195, AAD_000196, AAD_000197
OG0000003	AAB_000123	AAD_000203
OG0000004	AAB_000108	AAD_000175
OG0000005	AAB_000126	AAD_000217, AAD_000215, AAD_000216
OG0000006	AAB_000113	AAD_000185
OG0000007	AAB_000122	AAD_000201, AAD_000202
OG0000008	AAB_000121	AAD_000199
OG0000009	AAB_000135	AAD_000230
OG0000010	AAB_000110	AAD_000180
OG0000011	AAB_000111	AAD_000181
OG0000012	AAB_000143	AAD_000240
OG0000013	AAB_000114	AAD_000187
OG0000014	AAB_000140	AAD_000237, AAD_000236
OG0000017	AAB_000136	AAD_000231
OG0000019	AAB_000144	AAD_000241
OG0000021	AAB_000134	AAD_000229
OG0000022	AAB_000107	AAD_000172
OG0000024	AAB_000138	AAD_000233
OG0000025	AAB_000139	AAD_000234, AAD_000235
OG0000026	AAB_000142	AAD_000239
OG0000027	AAB_000120	AAD_000198
OG0000028	AAB_000137	AAD_000232
OG0000029	AAB_000141	AAD_000238
OG0000030	AAB_000109	AAD_000176, AAD_000177, AAD_000178
OG0000032	AAB_000145	AAD_000242
OG0000033	AAB_000128	AAD_000220
OG0000034	AAB_000127	AAD_000218, AAD_000219
OG0000035	AAB_000133	AAD_000228
OG0000036	AAB_000130	AAD_000223
