Orthogroup	t7_fai-gene-cluster-1	Ref_Epa_from_V583_fai-gene-cluster-1
OG0000000	AAC_000160	AAB_000124
OG0000001	AAC_000167	AAB_000129, AAB_000117
OG0000002	AAC_000150, AAC_000151	AAB_000118
OG0000003	AAC_000157	AAB_000123
OG0000004	AAC_000133	AAB_000108
OG0000005	AAC_000164	AAB_000126
OG0000006	AAC_000143	AAB_000113
OG0000007	AAC_000156	AAB_000122
OG0000008	AAC_000155	AAB_000121
OG0000009	AAC_000172, AAC_000173	AAB_000135
OG0000010	AAC_000136, AAC_000137	AAB_000110
OG0000011	AAC_000138	AAB_000111
OG0000012	AAC_000182, AAC_000181	AAB_000143
OG0000013	AAC_000144	AAB_000114
OG0000014	AAC_000178	AAB_000140
OG0000015	AAC_000152, AAC_000153	AAB_000119
OG0000016	AAC_000169	AAB_000131
OG0000017	AAC_000174	AAB_000136
OG0000018	AAC_000140	AAB_000112
OG0000019	AAC_000183	AAB_000144
OG0000020	AAC_000145	AAB_000115
OG0000022	AAC_000132	AAB_000107
OG0000023	AAC_000146	AAB_000116
OG0000024	AAC_000176	AAB_000138
OG0000025	AAC_000177	AAB_000139
OG0000026	AAC_000180	AAB_000142
OG0000027	AAC_000154	AAB_000120
OG0000028	AAC_000175	AAB_000137
OG0000029	AAC_000179	AAB_000141
OG0000030	AAC_000135	AAB_000109
OG0000032	AAC_000184	AAB_000145
OG0000033	AAC_000166	AAB_000128
OG0000034	AAC_000165	AAB_000127
OG0000036	AAC_000168	AAB_000130
