Orthogroup	t2_fai-gene-cluster-1	t28_fai-gene-cluster-1
OG0000000	AAJ_000177	AAF_000148
OG0000000	AAJ_000176	AAF_000146
OG0000000	AAJ_000178	AAF_000149
OG0000001	AAJ_000163	AAF_000135, AAF_000155
OG0000002	AAJ_000165, AAJ_000166, AAJ_000167	AAF_000137
OG0000002	AAJ_000164	AAF_000136
OG0000003	AAJ_000173	AAF_000145
OG0000004	AAJ_000147, AAJ_000146	AAF_000122
OG0000005	AAJ_000179	AAF_000150
OG0000005	AAJ_000180	AAF_000152
OG0000006	AAJ_000157	AAF_000130
OG0000007	AAJ_000172	AAF_000143, AAF_000144
OG0000009	AAJ_000189	AAF_000162
OG0000010	AAJ_000152	AAF_000126
OG0000010	AAJ_000151	AAF_000124
OG0000011	AAJ_000153	AAF_000127
OG0000012	AAJ_000200	AAF_000171
OG0000013	AAJ_000159	AAF_000132
OG0000013	AAJ_000158	AAF_000131
OG0000014	AAJ_000196, AAJ_000195	AAF_000168
OG0000015	AAJ_000169	AAF_000140
OG0000015	AAJ_000168	AAF_000139
OG0000016	AAJ_000185	AAF_000158
OG0000017	AAJ_000191	AAF_000163
OG0000018	AAJ_000155	AAF_000128
OG0000019	AAJ_000201	AAF_000173
OG0000020	AAJ_000160	AAF_000133
OG0000021	AAJ_000188	AAF_000161
OG0000022	AAJ_000145	AAF_000121
OG0000023	AAJ_000162	AAF_000134
OG0000024	AAJ_000193	AAF_000166
OG0000026	AAJ_000198	AAF_000170
OG0000027	AAJ_000170	AAF_000141
OG0000028	AAJ_000192	AAF_000164
OG0000029	AAJ_000197	AAF_000169
OG0000030	AAJ_000149	AAF_000123
OG0000031	AAJ_000186	AAF_000159
OG0000032	AAJ_000202	AAF_000174
OG0000033	AAJ_000182	AAF_000154
OG0000034	AAJ_000181	AAF_000153
OG0000035	AAJ_000187	AAF_000160
OG0000036	AAJ_000184	AAF_000157
