Orthogroup	t12_fai-gene-cluster-1	t19_fai-gene-cluster-1
OG0000000	AAA_000149	AAR_000205
OG0000000	AAA_000147	AAR_000200
OG0000000	AAA_000148	AAR_000202
OG0000001	AAA_000136	AAR_000214, AAR_000186
OG0000001	AAA_000137	AAR_000187
OG0000002	AAA_000138	AAR_000189, AAR_000190, AAR_000191, AAR_000188
OG0000003	AAA_000145	AAR_000197
OG0000003	AAA_000146	AAR_000199
OG0000004	AAA_000124	AAR_000168
OG0000005	AAA_000150	AAR_000211, AAR_000209, AAR_000210
OG0000006	AAA_000131	AAR_000180
OG0000007	AAA_000144	AAR_000195, AAR_000196
OG0000008	AAA_000142	AAR_000193
OG0000008	AAA_000143	AAR_000194
OG0000010	AAA_000127	AAR_000173
OG0000010	AAA_000126	AAR_000171
OG0000011	AAA_000129	AAR_000176
OG0000011	AAA_000128	AAR_000174, AAR_000175
OG0000013	AAA_000132	AAR_000182
OG0000014	AAA_000167	AAR_000228, AAR_000227
OG0000016	AAA_000156	AAR_000216
OG0000017	AAA_000162, AAA_000163	AAR_000223
OG0000018	AAA_000130	AAR_000177
OG0000019	AAA_000172	AAR_000232
OG0000020	AAA_000133	AAR_000183
OG0000020	AAA_000134	AAR_000184
OG0000021	AAA_000160	AAR_000221
OG0000024	AAA_000165	AAR_000225
OG0000026	AAA_000169	AAR_000230
OG0000027	AAA_000141	AAR_000192
OG0000028	AAA_000164	AAR_000224
OG0000029	AAA_000168	AAR_000229
OG0000030	AAA_000125	AAR_000170
OG0000031	AAA_000158	AAR_000217
OG0000032	AAA_000173	AAR_000233
OG0000033	AAA_000153	AAR_000213
OG0000034	AAA_000151	AAR_000212
OG0000035	AAA_000159	AAR_000220, AAR_000219
OG0000036	AAA_000155	AAR_000215
