Sample	AAI	Prop_Genes_Found	Mean_Syntenic_Correlation
t29	91.05	0.918918918918919	nan
t12	96.97297297297297	1.0	nan
Ref_Epa_from_V583	100.0	1.0	nan
t7	94.64	0.9459459459459459	nan
t14	89.48055555555555	0.972972972972973	nan
t8	84.65	0.918918918918919	nan
t28	97.05135135135136	1.0	nan
t25	96.47714285714285	0.9459459459459459	nan
t24	97.01081081081081	1.0	nan
t1	97.71764705882353	0.918918918918919	nan
t2	94.62162162162163	1.0	nan
t3	92.28857142857143	0.9459459459459459	nan
t30	96.74864864864865	1.0	nan
t26	82.56470588235294	0.918918918918919	nan
t20	97.5764705882353	0.918918918918919	nan
t17	86.26857142857143	0.9459459459459459	nan
t27	85.209375	0.8648648648648649	nan
t15	92.67058823529412	0.918918918918919	nan
t19	90.325	0.972972972972973	nan
t21	93.30606060606061	0.8918918918918919	nan
t13	94.48	0.9459459459459459	nan
t22	90.83142857142857	0.9459459459459459	nan
t11	95.91111111111111	0.972972972972973	nan
t5	90.3	0.8918918918918919	nan
t6	95.93513513513514	1.0	nan
t18	97.28378378378379	1.0	nan
t9	96.38648648648649	1.0	nan
t16	88.99375	0.8648648648648649	nan
t10	95.21714285714286	0.9459459459459459	nan
t23	98.12285714285714	0.9459459459459459	nan
t4	81.62285714285714	0.9459459459459459	nan
