Cluster_ID	Statistic	Value
PhamClust_341	Maximum of maximum E-values observed for any OG	3.46e-17
PhamClust_341	Maximum of near-core OG E-values observed:	3.46e-17
PhamClust_341	Maximum distance between near-core OGs:	2
PhamClust_341	Median CDS count:	21.5
PhamClust_341	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.698051948051948
PhamClust_34	Maximum of maximum E-values observed for any OG	1.06e-07
PhamClust_34	Maximum of near-core OG E-values observed:	1.06e-07
PhamClust_34	Maximum distance between near-core OGs:	18
PhamClust_34	Median CDS count:	62
PhamClust_34	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.6
PhamClust_135	Maximum of maximum E-values observed for any OG	9.19e-09
PhamClust_135	Maximum of near-core OG E-values observed:	2.03e-10
PhamClust_135	Maximum distance between near-core OGs:	16
PhamClust_135	Median CDS count:	133
PhamClust_135	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.368
PhamClust_347	Maximum of maximum E-values observed for any OG	1.93e-13
PhamClust_347	Maximum of near-core OG E-values observed:	1.93e-13
PhamClust_347	Maximum distance between near-core OGs:	12
PhamClust_347	Median CDS count:	88.0
PhamClust_347	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.35520833333333335
PhamClust_143	Maximum of maximum E-values observed for any OG	2.28e-10
PhamClust_143	Maximum of near-core OG E-values observed:	2.28e-10
PhamClust_143	Maximum distance between near-core OGs:	15
PhamClust_143	Median CDS count:	66
PhamClust_143	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.5606060606060606
PhamClust_315	Maximum of maximum E-values observed for any OG	6.5e-25
PhamClust_315	Maximum of near-core OG E-values observed:	6.16e-55
PhamClust_315	Maximum distance between near-core OGs:	21
PhamClust_315	Median CDS count:	48.0
PhamClust_315	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.4583333333333333
PhamClust_123	Maximum of maximum E-values observed for any OG	2.19e-05
