Cluster_ID	Statistic	Value
GCF_1938	Maximum of maximum E-values observed for any OG	3.2e-47
GCF_1938	Maximum of near-core OG E-values observed:	1.07e-57
GCF_1938	Maximum distance between near-core OGs:	1
GCF_1938	Median CDS count:	31.5
GCF_1938	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.8891129032258065
GCF_1592	Maximum of maximum E-values observed for any OG	4.67e-54
GCF_1592	Maximum of near-core OG E-values observed:	4.67e-54
GCF_1592	Maximum distance between near-core OGs:	1
GCF_1592	Median CDS count:	15.0
GCF_1592	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	1.0
GCF_421	Maximum of maximum E-values observed for any OG	2.35e-206
GCF_421	Maximum of near-core OG E-values observed:	0.0
GCF_421	Maximum distance between near-core OGs:	1
GCF_421	Median CDS count:	4.5
GCF_421	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.9
GCF_1859	Maximum of maximum E-values observed for any OG	2.08e-41
GCF_1859	Maximum of near-core OG E-values observed:	2.08e-41
GCF_1859	Maximum distance between near-core OGs:	1
GCF_1859	Median CDS count:	14.0
GCF_1859	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.9333333333333333
GCF_1841	Maximum of maximum E-values observed for any OG	1.12e-35
GCF_1841	Maximum of near-core OG E-values observed:	1.12e-35
GCF_1841	Maximum distance between near-core OGs:	4
GCF_1841	Median CDS count:	28.5
GCF_1841	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.8774630541871922
GCF_252	Maximum of maximum E-values observed for any OG	8.64e-12
GCF_252	Maximum of near-core OG E-values observed:	8.64e-12
GCF_252	Maximum distance between near-core OGs:	4
GCF_252	Median CDS count:	38
GCF_252	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.21052631578947367
GCF_671	Maximum of maximum E-values observed for any OG	4.21e-49
GCF_671	Maximum of near-core OG E-values observed:	8.08e-101
GCF_671	Maximum distance between near-core OGs:	3
GCF_671	Median CDS count:	26
GCF_671	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.6538461538461539
GCF_2126	Maximum of maximum E-values observed for any OG	1.07e-32
GCF_2126	Maximum of near-core OG E-values observed:	1.13e-48
GCF_2126	Maximum distance between near-core OGs:	3
GCF_2126	Median CDS count:	32.0
GCF_2126	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.8421052631578947
GCF_1643	Maximum of maximum E-values observed for any OG	3.93e-121
GCF_1643	Maximum of near-core OG E-values observed:	3.93e-121
GCF_1643	Maximum distance between near-core OGs:	2
GCF_1643	Median CDS count:	15.0
GCF_1643	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.6818181818181819
GCF_1878	Maximum of maximum E-values observed for any OG	5.75e-88
GCF_1878	Maximum of near-core OG E-values observed:	5.75e-88
GCF_1878	Maximum distance between near-core OGs:	1
GCF_1878	Median CDS count:	4.0
GCF_1878	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	1.0
GCF_48	Maximum of maximum E-values observed for any OG	1.12e-53
GCF_48	Maximum of near-core OG E-values observed:	1.45e-73
GCF_48	Maximum distance between near-core OGs:	16
GCF_48	Median CDS count:	27
GCF_48	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.4074074074074074
GCF_1344	Maximum of maximum E-values observed for any OG	1.57e-40
GCF_1344	Maximum of near-core OG E-values observed:	1.89e-55
GCF_1344	Maximum distance between near-core OGs:	1
GCF_1344	Median CDS count:	51.5
GCF_1344	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.7686567164179104
GCF_2328	Maximum of maximum E-values observed for any OG	1.26e-42
GCF_2328	Maximum of near-core OG E-values observed:	1.26e-42
GCF_2328	Maximum distance between near-core OGs:	1
GCF_2328	Median CDS count:	10.5
GCF_2328	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.9545454545454546
GCF_972	Maximum of maximum E-values observed for any OG	1.39e-32
GCF_972	Maximum of near-core OG E-values observed:	3.47e-51
GCF_972	Maximum distance between near-core OGs:	3
GCF_972	Median CDS count:	23.0
GCF_972	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.9130434782608695
GCF_1879	Maximum of maximum E-values observed for any OG	5.51e-27
GCF_1879	Maximum of near-core OG E-values observed:	5.51e-27
GCF_1879	Maximum distance between near-core OGs:	1
GCF_1879	Median CDS count:	4
GCF_1879	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.75
GCF_878	Maximum of maximum E-values observed for any OG	1.77e-36
GCF_878	Maximum of near-core OG E-values observed:	6.96e-90
GCF_878	Maximum distance between near-core OGs:	3
GCF_878	Median CDS count:	20.5
GCF_878	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.7427536231884058
GCF_474	Maximum of maximum E-values observed for any OG	3.28e-37
GCF_474	Maximum of near-core OG E-values observed:	3.28e-37
GCF_474	Maximum distance between near-core OGs:	2
GCF_474	Median CDS count:	9.5
GCF_474	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.7556818181818181
GCF_2088	Maximum of maximum E-values observed for any OG	1.15e-126
GCF_2088	Maximum of near-core OG E-values observed:	1.15e-126
GCF_2088	Maximum distance between near-core OGs:	1
GCF_2088	Median CDS count:	5.0
GCF_2088	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	1.0
GCF_465	Maximum of maximum E-values observed for any OG	2.16e-33
GCF_465	Maximum of near-core OG E-values observed:	2.16e-33
GCF_465	Maximum distance between near-core OGs:	1
GCF_465	Median CDS count:	17.5
GCF_465	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.8166666666666667
GCF_1233	Maximum of maximum E-values observed for any OG	2.48e-41
GCF_1233	Maximum of near-core OG E-values observed:	1.37e-44
GCF_1233	Maximum distance between near-core OGs:	8
GCF_1233	Median CDS count:	18.0
GCF_1233	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.73125
GCF_906	Maximum of maximum E-values observed for any OG	3.87e-20
GCF_906	Maximum of near-core OG E-values observed:	8.09e-65
GCF_906	Maximum distance between near-core OGs:	2
GCF_906	Median CDS count:	36.5
GCF_906	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.8346036585365854
GCF_528	Maximum of maximum E-values observed for any OG	8.06e-08
GCF_528	Maximum of near-core OG E-values observed:	8.06e-08
GCF_528	Maximum distance between near-core OGs:	1
GCF_528	Median CDS count:	9.0
GCF_528	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	1.0
GCF_683	Maximum of maximum E-values observed for any OG	8.46e-109
GCF_683	Maximum of near-core OG E-values observed:	8.46e-109
GCF_683	Maximum distance between near-core OGs:	1
GCF_683	Median CDS count:	16.0
GCF_683	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	1.0
GCF_2312	Maximum of maximum E-values observed for any OG	1.18e-45
GCF_2312	Maximum of near-core OG E-values observed:	6.59e-137
GCF_2312	Maximum distance between near-core OGs:	1
GCF_2312	Median CDS count:	14.0
GCF_2312	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.875
GCF_109	Maximum of maximum E-values observed for any OG	1.37e-65
GCF_109	Maximum of near-core OG E-values observed:	1.37e-65
GCF_109	Maximum distance between near-core OGs:	1
GCF_109	Median CDS count:	40.5
GCF_109	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.7641509433962264
GCF_1633	Maximum of maximum E-values observed for any OG	8.24e-33
GCF_1633	Maximum of near-core OG E-values observed:	1.31e-62
GCF_1633	Maximum distance between near-core OGs:	2
GCF_1633	Median CDS count:	18.0
GCF_1633	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.84375
GCF_1032	Maximum of maximum E-values observed for any OG	2.3e-49
GCF_1032	Maximum of near-core OG E-values observed:	9.53e-63
GCF_1032	Maximum distance between near-core OGs:	1
GCF_1032	Median CDS count:	14.0
GCF_1032	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.7897435897435897
GCF_2400	Maximum of maximum E-values observed for any OG	2.31e-36
GCF_2400	Maximum of near-core OG E-values observed:	1e-129
GCF_2400	Maximum distance between near-core OGs:	1
GCF_2400	Median CDS count:	14.5
GCF_2400	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.6904761904761905
GCF_672	Maximum of maximum E-values observed for any OG	1.69e-24
GCF_672	Maximum of near-core OG E-values observed:	1.69e-24
GCF_672	Maximum distance between near-core OGs:	3
GCF_672	Median CDS count:	37.0
GCF_672	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.6351351351351351
GCF_2368	Maximum of maximum E-values observed for any OG	1.18e-46
GCF_2368	Maximum of near-core OG E-values observed:	1.18e-46
GCF_2368	Maximum distance between near-core OGs:	2
GCF_2368	Median CDS count:	21.0
GCF_2368	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.8571428571428571
GCF_2194	Maximum of maximum E-values observed for any OG	3.71e-42
GCF_2194	Maximum of near-core OG E-values observed:	3.71e-42
GCF_2194	Maximum distance between near-core OGs:	2
GCF_2194	Median CDS count:	15.0
GCF_2194	Median proportion of CDS which are near-core (conserved in 80 percent of gene-clusters):	0.8
GCF_1091	Maximum of maximum E-values observed for any OG	0.0
