Orthogroup	t20_fai-gene-cluster-1	Ref_Epa_from_V583_fai-gene-cluster-1
OG0000000	AAN_000143	AAB_000125
OG0000000	AAN_000141	AAB_000124
OG0000001	AAN_000148	AAB_000117, AAB_000129
OG0000002	AAN_000135	AAB_000118
OG0000003	AAN_000140	AAB_000123
OG0000004	AAN_000122	AAB_000108
OG0000005	AAN_000146	AAB_000126
OG0000006	AAN_000130	AAB_000113
OG0000007	AAN_000139	AAB_000122
OG0000008	AAN_000138	AAB_000121
OG0000009	AAN_000153, AAN_000154	AAB_000135
OG0000010	AAN_000124	AAB_000110
OG0000011	AAN_000125, AAN_000126	AAB_000111
OG0000012	AAN_000162	AAB_000143
OG0000014	AAN_000159	AAB_000140
OG0000015	AAN_000136	AAB_000119
OG0000016	AAN_000150	AAB_000131
OG0000017	AAN_000155	AAB_000136
OG0000018	AAN_000128	AAB_000112
OG0000019	AAN_000163	AAB_000144
OG0000020	AAN_000132	AAB_000115
OG0000021	AAN_000152	AAB_000134
OG0000022	AAN_000121	AAB_000107
OG0000023	AAN_000133	AAB_000116
OG0000024	AAN_000157	AAB_000138
OG0000025	AAN_000158	AAB_000139
OG0000026	AAN_000161	AAB_000142
OG0000027	AAN_000137	AAB_000120
OG0000028	AAN_000156	AAB_000137
OG0000029	AAN_000160	AAB_000141
OG0000030	AAN_000123	AAB_000109
OG0000032	AAN_000164	AAB_000145
OG0000033	AAN_000147	AAB_000128
OG0000036	AAN_000149	AAB_000130
