Orthogroup	t18_fai-gene-cluster-1	Other
OG0000001	AAY_000141	AAI_000129
OG0000008	AAY_000149	AAB_000121
OG0000008	AAY_000149	AAN_000138
OG0000008	AAY_000149	AAI_000135
OG0000008	AAY_000149	AAC_000155
OG0000008	AAY_000149	AAG_000153
OG0000008	AAY_000149	ABC_000132
OG0000008	AAY_000149	AAZ_000149
OG0000008	AAY_000149	AAF_000142
OG0000008	AAY_000149	AAH_000147
OG0000008	AAY_000149	AAQ_000188
OG0000008	AAY_000149	AAR_000194
OG0000008	AAY_000149	AAR_000194
OG0000008	AAY_000149	AAL_000150
OG0000008	AAY_000149	AAV_000156
OG0000008	AAY_000149	AAA_000143
OG0000008	AAY_000149	AAD_000200
OG0000008	AAY_000149	AAO_000212
OG0000009	AAY_000171	AAM_000227
