Orthogroup	t1_fai-gene-cluster-1	Other
OG0000001	AAI_000129	AAL_000144
OG0000001	AAI_000129	AAY_000141
OG0000001	AAI_000129	AAH_000141
OG0000001	AAI_000129	AAZ_000141
OG0000001	AAI_000129	AAF_000135
OG0000001	AAI_000129	ABE_000198
OG0000001	AAI_000129	AAW_000194
OG0000001	AAI_000129	AAM_000216
OG0000001	AAI_000129	AAO_000237
OG0000001	AAI_000129	AAE_000234
OG0000001	AAI_000129	AAD_000221
OG0000001	AAI_000129	AAR_000214, AAR_000186
OG0000001	AAI_000129	AAQ_000201, AAQ_000181
OG0000001	AAI_000129	AAA_000136
OG0000001	AAI_000129	AAV_000149
OG0000001	AAI_000129	ABB_000158
OG0000001	AAI_000129	ABA_000199
OG0000001	AAI_000129	AAP_000197
OG0000001	AAI_000129	AAS_000193
OG0000001	AAI_000129	ABD_000230
OG0000001	AAI_000129	AAF_000155
OG0000001	AAI_000129	AAF_000155
OG0000008	AAI_000135	AAY_000149
OG0000008	AAI_000135	AAR_000194
OG0000009	AAI_000153	AAM_000227
