Orthogroup	t19_fai-gene-cluster-1	Other
OG0000001	AAR_000214, AAR_000186	AAI_000129
OG0000001	AAR_000214, AAR_000186	AAF_000155
OG0000008	AAR_000194	AAB_000121
OG0000008	AAR_000194	AAN_000138
OG0000008	AAR_000194	AAI_000135
OG0000008	AAR_000194	AAC_000155
OG0000008	AAR_000194	AAG_000153
OG0000008	AAR_000194	ABC_000132
OG0000008	AAR_000194	AAZ_000149
OG0000008	AAR_000194	AAF_000142
OG0000008	AAR_000194	AAH_000147
OG0000008	AAR_000194	AAQ_000188
OG0000008	AAR_000194	AAY_000149
OG0000008	AAR_000194	AAL_000150
OG0000008	AAR_000194	AAV_000156
OG0000008	AAR_000194	AAA_000143
OG0000008	AAR_000194	AAD_000200
OG0000008	AAR_000194	AAO_000212
OG0000008	AAR_000194	AAY_000149
