Orthogroup	t13_fai-gene-cluster-1	Ref_Epa_from_V583_fai-gene-cluster-1
OG0000000	AAT_000164	AAB_000124
OG0000001	AAT_000172	AAB_000129, AAB_000117
OG0000002	AAT_000152, AAT_000153	AAB_000118
OG0000003	AAT_000161	AAB_000123
OG0000004	AAT_000135	AAB_000108
OG0000005	AAT_000168	AAB_000126
OG0000006	AAT_000145	AAB_000113
OG0000007	AAT_000159, AAT_000160, AAT_000158	AAB_000122
OG0000008	AAT_000157	AAB_000121
OG0000009	AAT_000177, AAT_000178	AAB_000135
OG0000010	AAT_000138, AAT_000139	AAB_000110
OG0000011	AAT_000140	AAB_000111
OG0000012	AAT_000187, AAT_000188, AAT_000186	AAB_000143
OG0000013	AAT_000146	AAB_000114
OG0000014	AAT_000183	AAB_000140
OG0000015	AAT_000154	AAB_000119
OG0000016	AAT_000174	AAB_000131
OG0000017	AAT_000179	AAB_000136
OG0000018	AAT_000142	AAB_000112
OG0000019	AAT_000189	AAB_000144
OG0000020	AAT_000147	AAB_000115
OG0000022	AAT_000134	AAB_000107
OG0000023	AAT_000148	AAB_000116
OG0000024	AAT_000181	AAB_000138
OG0000025	AAT_000182	AAB_000139
OG0000026	AAT_000185	AAB_000142
OG0000027	AAT_000155	AAB_000120
OG0000028	AAT_000180	AAB_000137
OG0000029	AAT_000184	AAB_000141
OG0000030	AAT_000137	AAB_000109
OG0000032	AAT_000190	AAB_000145
OG0000033	AAT_000171	AAB_000128
OG0000034	AAT_000169, AAT_000170	AAB_000127
OG0000036	AAT_000173	AAB_000130
