Orthogroup	t25_fai-gene-cluster-1	Ref_Epa_from_V583_fai-gene-cluster-1
OG0000000	AAG_000158	AAB_000124
OG0000001	AAG_000167	AAB_000117, AAB_000129
OG0000002	AAG_000149, AAG_000150	AAB_000118
OG0000003	AAG_000155	AAB_000123
OG0000004	AAG_000132	AAB_000108
OG0000005	AAG_000163	AAB_000126
OG0000006	AAG_000142	AAB_000113
OG0000007	AAG_000154	AAB_000122
OG0000008	AAG_000153	AAB_000121
OG0000009	AAG_000172, AAG_000173	AAB_000135
OG0000010	AAG_000136	AAB_000110
OG0000011	AAG_000137	AAB_000111
OG0000012	AAG_000181, AAG_000182, AAG_000183	AAB_000143
OG0000013	AAG_000143	AAB_000114
OG0000014	AAG_000178	AAB_000140
OG0000015	AAG_000151	AAB_000119
OG0000016	AAG_000169	AAB_000131
OG0000017	AAG_000174	AAB_000136
OG0000018	AAG_000139	AAB_000112
OG0000019	AAG_000184	AAB_000144
OG0000020	AAG_000144	AAB_000115
OG0000021	AAG_000171	AAB_000134
OG0000022	AAG_000131	AAB_000107
OG0000023	AAG_000145	AAB_000116
OG0000024	AAG_000176	AAB_000138
OG0000025	AAG_000177	AAB_000139
OG0000026	AAG_000180	AAB_000142
OG0000027	AAG_000152	AAB_000120
OG0000028	AAG_000175	AAB_000137
OG0000029	AAG_000179	AAB_000141
OG0000030	AAG_000134	AAB_000109
OG0000032	AAG_000185	AAB_000145
OG0000033	AAG_000166	AAB_000128
OG0000034	AAG_000164, AAG_000165	AAB_000127
OG0000036	AAG_000168	AAB_000130
