Orthogroup	t26_fai-gene-cluster-1	t18_fai-gene-cluster-1
OG0000000	AAM_000211	AAY_000158
OG0000000	AAM_000207	AAY_000157
OG0000001	AAM_000216	AAY_000141
OG0000002	AAM_000195	AAY_000143
OG0000002	AAM_000196, AAM_000197	AAY_000144
OG0000002	AAM_000193	AAY_000142
OG0000003	AAM_000206	AAY_000155, AAY_000156
OG0000004	AAM_000179	AAY_000128
OG0000004	AAM_000178	AAY_000127
OG0000004	AAM_000177	AAY_000126
OG0000005	AAM_000213, AAM_000212, AAM_000214	AAY_000160
OG0000006	AAM_000184	AAY_000135
OG0000007	AAM_000205	AAY_000151
OG0000007	AAM_000204	AAY_000152, AAY_000153
OG0000008	AAM_000201	AAY_000148
OG0000008	AAM_000202, AAM_000203	AAY_000150
OG0000009	AAM_000225	AAY_000169
OG0000009	AAM_000226	AAY_000171
OG0000010	AAM_000180	AAY_000131
OG0000011	AAM_000181	AAY_000133
OG0000012	AAM_000239, AAM_000240	AAY_000179
OG0000013	AAM_000185	AAY_000137
OG0000014	AAM_000235, AAM_000234	AAY_000176
OG0000016	AAM_000217, AAM_000218, AAM_000219	AAY_000165
OG0000017	AAM_000228, AAM_000229	AAY_000172
OG0000019	AAM_000241, AAM_000243	AAY_000180
OG0000020	AAM_000186	AAY_000138
OG0000021	AAM_000224, AAM_000223	AAY_000168
OG0000023	AAM_000189	AAY_000140
OG0000023	AAM_000188	AAY_000139
OG0000024	AAM_000231, AAM_000232	AAY_000174
OG0000026	AAM_000238	AAY_000178
OG0000027	AAM_000200	AAY_000147
OG0000028	AAM_000230	AAY_000173
OG0000029	AAM_000237, AAM_000236	AAY_000177
OG0000031	AAM_000220	AAY_000166
OG0000032	AAM_000244	AAY_000181
OG0000033	AAM_000215	AAY_000162
OG0000035	AAM_000222	AAY_000167
